time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002226,0.0963,-0.1426,0.1642,0.238
0.002712,0.0892,-0.1330,0.1379,0.211
0.002955,0.0628,-0.1282,0.1140,0.183
0.003188,0.0604,-0.1210,0.1020,0.169
0.022916,-0.0046,-0.0951,-0.0872,0.129
0.024355,-0.0046,-0.1047,-0.0968,0.143
0.024684,0.0050,-0.1167,-0.0968,0.152
0.024865,0.0170,-0.1095,-0.0872,0.141
0.025039,0.0241,-0.1095,-0.0825,0.139
0.063088,0.0941,-0.1026,0.0528,0.149
0.063642,0.0941,-0.0858,0.0624,0.142
0.063797,0.0845,-0.0834,0.0600,0.133
0.063936,0.0773,-0.0858,0.0600,0.130
0.064073,0.0773,-0.0714,0.0671,0.125
0.101893,-0.1300,-0.0503,0.0862,0.164
0.102343,-0.1396,-0.0551,0.0885,0.174
0.102511,-0.1276,-0.0431,0.0885,0.161
0.102664,-0.1324,-0.0479,0.0885,0.166
0.102809,-0.1468,-0.0455,0.0862,0.176
0.123783,-0.1518,-0.0338,0.0592,0.166
0.124139,-0.1614,-0.0194,0.0616,0.174
0.124242,-0.1590,-0.0218,0.0472,0.167
0.141542,-0.1858,0.0239,-0.0230,0.189
0.141861,-0.1858,0.0239,-0.0277,0.189
0.141939,-0.1881,0.0334,-0.0445,0.196
0.142030,-0.1977,0.0287,-0.0565,0.208
0.142103,-0.2049,0.0310,-0.0708,0.219
0.151450,-0.1966,0.0290,-0.0892,0.218
0.151649,-0.1942,0.0362,-0.1012,0.222
0.151756,-0.1894,0.0338,-0.0844,0.210
0.151824,-0.1894,0.0314,-0.0844,0.210
0.182352,-0.0839,-0.0465,-0.1333,0.164
0.182729,-0.0839,-0.0560,-0.1261,0.162
0.182864,-0.0863,-0.0680,-0.1213,0.164
0.183001,-0.0743,-0.0680,-0.1309,0.165
0.183111,-0.0672,-0.0632,-0.1333,0.162
0.202120,-0.0929,-0.0595,-0.1187,0.162
0.202644,-0.0953,-0.0595,-0.1139,0.160
0.202860,-0.1001,-0.0595,-0.1115,0.161
0.232240,-0.1668,-0.0429,-0.0771,0.189
0.232809,-0.1692,-0.0477,-0.0747,0.191
0.233009,-0.1716,-0.0453,-0.0675,0.190
0.233175,-0.1740,-0.0429,-0.0747,0.194
0.233352,-0.1716,-0.0405,-0.0747,0.191
0.262595,-0.1441,-0.0750,-0.0739,0.178
0.263229,-0.1321,-0.0894,-0.0619,0.171
0.263740,-0.1273,-0.0941,-0.0571,0.168
0.264030,-0.1154,-0.1013,-0.0332,0.157
0.264259,-0.1058,-0.1157,-0.0356,0.161
0.302417,0.0349,-0.0766,0.0374,0.092
0.302847,0.0421,-0.0766,0.0111,0.088
0.303038,0.0493,-0.0718,-0.0057,0.087
0.303180,0.0397,-0.0718,-0.0200,0.084
0.303495,0.0254,-0.0766,-0.0440,0.092
0.342531,0.1238,-0.2049,0.0328,0.242
0.342996,0.1214,-0.2049,0.0615,0.246
0.382213,0.0799,-0.0975,-0.1233,0.176
0.391621,0.0865,-0.0979,-0.1356,0.188
0.392016,0.0913,-0.0931,-0.1476,0.197
0.392214,0.1033,-0.0860,-0.1619,0.210
0.392357,0.1081,-0.0931,-0.1548,0.210
0.402452,0.1292,-0.0978,-0.1532,0.223
0.402824,0.1411,-0.0906,-0.1460,0.222
0.402969,0.1555,-0.1002,-0.1388,0.231
0.427137,0.2241,-0.0804,-0.1042,0.260
0.427791,0.2265,-0.0660,-0.1018,0.257
0.427935,0.2337,-0.0492,-0.0946,0.257
0.428164,0.2409,-0.0492,-0.0946,0.263
0.428364,0.2313,-0.0469,-0.0970,0.255
0.463294,0.1213,0.0064,0.1312,0.179
0.502599,0.0152,0.0716,0.1322,0.151
0.504131,0.0080,0.0812,0.1250,0.149
0.504494,-0.0016,0.1004,0.1226,0.158
0.504775,-0.0016,0.1004,0.1178,0.155
0.504994,-0.0064,0.0860,0.1202,0.148
0.542886,-0.0392,-0.0455,0.0133,0.061
0.543697,-0.0416,-0.0694,0.0229,0.084
0.543970,-0.0440,-0.0790,0.0277,0.095
0.544175,-0.0368,-0.1029,0.0301,0.113
0.544416,-0.0368,-0.1221,0.0253,0.130
0.582545,-0.0699,-0.2505,-0.0534,0.266
0.583300,-0.0795,-0.2386,-0.0582,0.258
0.583603,-0.0843,-0.2290,-0.0846,0.258
0.583736,-0.0843,-0.2242,-0.0965,0.258
0.583844,-0.0987,-0.2098,-0.1037,0.254
0.624431,-0.1430,-0.0288,-0.1112,0.183
0.624956,-0.1382,-0.0025,-0.0896,0.165
0.625138,-0.1430,0.0263,-0.0681,0.161
0.625303,-0.1550,0.0406,-0.0561,0.170
0.625494,-0.1478,0.0646,-0.0321,0.164
0.662624,-0.1024,0.2915,0.1227,0.332
0.663074,-0.1024,0.3106,0.1227,0.349
0.663212,-0.1024,0.3106,0.1299,0.352
0.663317,-0.1000,0.2986,0.1323,0.342
0.663780,-0.1024,0.2962,0.1203,0.336
0.683618,-0.0987,0.2158,0.0968,0.256
0.684073,-0.0916,0.2015,0.0753,0.234
0.684524,-0.0916,0.1703,0.0633,0.203
0.702438,-0.0833,-0.0539,0.0162,0.101
0.702871,-0.0761,-0.0826,0.0067,0.113
0.703039,-0.0761,-0.1137,0.0043,0.137
0.703176,-0.0809,-0.1544,-0.0125,0.175
0.703449,-0.0809,-0.1880,-0.0269,0.206
0.723103,-0.0668,-0.3894,-0.0489,0.398
0.723760,-0.0644,-0.4206,-0.0609,0.430
0.723946,-0.0572,-0.4421,-0.0561,0.449
0.743615,0.0040,-0.5481,-0.0574,0.551
0.744029,0.0255,-0.5458,-0.0478,0.548
0.744196,0.0399,-0.5410,-0.0574,0.545
0.744342,0.0591,-0.5458,-0.0478,0.551
0.744478,0.0710,-0.5386,-0.0502,0.546
0.783039,0.3519,-0.2215,0.0502,0.419
0.783652,0.3615,-0.2215,0.0574,0.428
0.822624,0.3149,0.0125,0.0753,0.324
0.823131,0.3029,0.0364,0.0896,0.318
0.823289,0.3101,0.0604,0.0776,0.325
0.823731,0.3005,0.0795,0.0729,0.319
0.823865,0.2885,0.1107,0.0585,0.315
0.842466,0.2782,0.2620,0.0254,0.383
0.842857,0.2710,0.2931,0.0398,0.401
0.843015,0.2590,0.3098,0.0278,0.405
0.862385,0.1921,0.3653,-0.0294,0.414
0.862759,0.1777,0.3437,-0.0222,0.388
0.862891,0.1466,0.3341,-0.0366,0.367
0.863011,0.1203,0.3222,-0.0342,0.346
0.863123,0.0939,0.3006,-0.0438,0.318
0.882996,-0.0402,0.1659,0.0036,0.171
0.883829,-0.0713,0.1324,0.0132,0.151
0.884050,-0.0857,0.1204,0.0108,0.148
0.903643,-0.2470,-0.1103,0.1528,0.311
0.923080,-0.2542,-0.1451,0.1441,0.326
0.923506,-0.2709,-0.1475,0.1417,0.339
0.923675,-0.2709,-0.1475,0.1513,0.344
0.943178,-0.3249,-0.1876,0.0973,0.388
0.943777,-0.3417,-0.1948,0.0829,0.402
0.944011,-0.3537,-0.1996,0.0614,0.411
0.944180,-0.3584,-0.2044,0.0494,0.416
0.944427,-0.3632,-0.1972,0.0327,0.415
0.982793,-0.3283,-0.1499,-0.0466,0.364
0.983198,-0.3306,-0.1427,-0.0442,0.363
0.983321,-0.3283,-0.1475,-0.0178,0.360
