time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002209,-0.0727,-0.0186,0.0243,0.079
0.002895,-0.0559,-0.0066,0.0386,0.068
0.003108,-0.0535,0.0030,0.0458,0.071
0.003247,-0.0583,0.0125,0.0578,0.083
0.003411,-0.0631,0.0125,0.0554,0.085
0.040009,-0.0227,0.0436,0.1430,0.151
0.041279,-0.0155,0.0412,0.1549,0.161
0.041479,0.0036,0.0556,0.1789,0.187
0.041613,0.0156,0.0460,0.2004,0.206
0.041752,0.0156,0.0436,0.2124,0.217
0.081939,0.2798,-0.1350,0.1464,0.343
0.082667,0.3037,-0.1470,0.1488,0.369
0.082901,0.3228,-0.1614,0.1440,0.389
0.083137,0.3420,-0.1829,0.1464,0.415
0.083363,0.3492,-0.1997,0.1393,0.426
0.120247,0.2740,-0.1928,0.1684,0.375
0.121294,0.2716,-0.1833,0.1875,0.378
0.121483,0.2477,-0.1880,0.1732,0.356
0.121641,0.2477,-0.1737,0.1875,0.356
0.121820,0.2357,-0.1665,0.1851,0.343
0.134754,0.2107,-0.1610,0.1897,0.326
0.135344,0.2011,-0.1514,0.2017,0.323
0.135523,0.1987,-0.1490,0.2089,0.325
0.135724,0.1987,-0.1394,0.1993,0.314
0.160697,0.3659,-0.1247,0.2832,0.479
0.161998,0.3851,-0.1366,0.2976,0.505
0.162209,0.3875,-0.1486,0.2952,0.509
0.162432,0.3851,-0.1510,0.3071,0.515
0.162640,0.4018,-0.1582,0.2976,0.524
0.186999,0.4186,-0.1107,0.1480,0.458
0.187814,0.4377,-0.1107,0.1216,0.468
0.187958,0.4377,-0.1107,0.1168,0.466
0.206215,0.4822,-0.0679,0.0895,0.495
0.207363,0.4917,-0.0823,0.1350,0.517
0.207559,0.5205,-0.0895,0.1494,0.549
0.207671,0.5588,-0.0967,0.1422,0.585
0.207789,0.5731,-0.1038,0.1422,0.600
0.219713,0.5826,-0.1717,0.2417,0.654
0.221431,0.5850,-0.1860,0.2680,0.670
0.221683,0.5874,-0.1980,0.3064,0.691
0.240766,0.3802,-0.2864,0.1280,0.493
0.259237,0.2705,-0.2765,0.0319,0.388
0.259862,0.2490,-0.2693,0.0128,0.367
0.260831,0.2346,-0.2693,0.0056,0.357
0.281785,0.1725,-0.2089,-0.0008,0.271
0.282315,0.1725,-0.2113,0.0112,0.273
0.282532,0.1773,-0.2017,0.0255,0.270
0.282761,0.1749,-0.1897,0.0183,0.259
0.282985,0.1701,-0.1634,0.0159,0.236
0.303638,0.1672,-0.1354,0.0189,0.216
0.304202,0.1552,-0.1354,0.0237,0.207
0.304355,0.1624,-0.1354,0.0357,0.214
0.320794,0.1732,-0.1611,0.0489,0.242
0.321363,0.1708,-0.1683,0.0561,0.246
0.321561,0.1661,-0.1635,0.0657,0.242
0.321726,0.1756,-0.1707,0.0729,0.256
0.321908,0.1780,-0.1707,0.0872,0.262
0.329765,0.1954,-0.1702,0.1132,0.283
0.330334,0.2170,-0.1798,0.1156,0.305
0.330613,0.2098,-0.1774,0.1276,0.303
0.330893,0.2122,-0.1822,0.1395,0.313
0.343766,0.2261,-0.1707,0.1467,0.319
0.344382,0.2429,-0.1731,0.1563,0.337
0.344753,0.2453,-0.1683,0.1539,0.335
0.359638,0.2626,-0.1945,0.0795,0.336
0.360249,0.2746,-0.2041,0.0676,0.349
0.360442,0.2674,-0.2088,0.0436,0.342
0.360975,0.2650,-0.2184,0.0197,0.344
0.361109,0.2578,-0.2184,0.0053,0.338
0.380298,0.2158,-0.2567,0.0160,0.336
0.380707,0.2110,-0.2591,0.0184,0.335
0.380871,0.2110,-0.2710,0.0424,0.346
0.402819,0.0954,-0.2969,0.1893,0.365
0.403492,0.0858,-0.2969,0.2012,0.369
0.403671,0.0714,-0.2993,0.2228,0.380
