time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002049,-0.0025,-0.0349,-0.0611,0.070
0.002596,0.0070,-0.0182,-0.0778,0.080
0.002799,0.0190,-0.0134,-0.0994,0.102
0.024001,0.0951,0.0337,-0.1897,0.215
0.025780,0.1094,0.0385,-0.1825,0.216
0.027648,0.1094,0.0457,-0.1777,0.214
0.027934,0.1262,0.0457,-0.1610,0.210
0.028105,0.1334,0.0313,-0.1490,0.202
0.055955,-0.0625,0.0092,-0.1034,0.121
0.056920,-0.1224,-0.0171,-0.0914,0.154
0.057275,-0.0817,-0.0195,-0.0770,0.114
0.057441,0.0380,-0.0100,-0.0268,0.048
0.057554,0.1769,-0.0387,0.0882,0.201
0.093380,0.1263,-0.0855,-0.0356,0.157
0.094219,0.1000,-0.0783,-0.0739,0.147
0.094423,0.0784,-0.0831,-0.0883,0.144
0.094604,0.0641,-0.0759,-0.1050,0.145
0.094791,0.0569,-0.0759,-0.1385,0.168
0.137297,-0.2610,-0.0872,-0.0764,0.286
0.138205,-0.2921,-0.0896,-0.0549,0.310
0.138416,-0.3017,-0.0920,-0.0238,0.316
0.138603,-0.2921,-0.0896,-0.0142,0.306
0.138767,-0.2777,-0.0848,0.0074,0.290
0.147047,-0.2719,-0.0765,0.0085,0.283
0.148112,-0.2576,-0.0813,0.0205,0.271
0.148382,-0.2504,-0.0789,0.0229,0.264
0.148552,-0.2480,-0.0717,0.0277,0.260
0.174559,-0.3705,-0.1206,-0.0806,0.398
0.175703,-0.3992,-0.1302,-0.0830,0.428
0.175964,-0.4232,-0.1325,-0.0782,0.450
0.176146,-0.4399,-0.1278,-0.0519,0.461
0.176322,-0.4495,-0.1134,-0.0303,0.465
0.198923,-0.5544,-0.0303,0.0292,0.556
0.212901,-0.5668,-0.0964,0.0152,0.575
0.213545,-0.5668,-0.1036,0.0200,0.577
0.213921,-0.5620,-0.1108,0.0247,0.573
0.214598,-0.5644,-0.1228,0.0152,0.578
0.214818,-0.5692,-0.1276,0.0104,0.583
0.236063,-0.5789,-0.1101,0.0162,0.589
0.237208,-0.5933,-0.0910,0.0067,0.600
0.237470,-0.5957,-0.0766,0.0043,0.601
0.254195,-0.5436,0.0674,0.0565,0.551
0.254907,-0.5412,0.0722,0.0517,0.548
0.255129,-0.5436,0.0793,0.0349,0.550
0.255330,-0.5292,0.0865,0.0277,0.537
0.255920,-0.5197,0.0961,0.0277,0.529
0.294513,-0.3442,-0.0976,0.1455,0.386
0.295880,-0.3370,-0.1120,0.1599,0.389
0.346112,-0.2764,-0.2409,0.1976,0.416
0.347373,-0.2812,-0.2409,0.1928,0.417
0.347839,-0.2764,-0.2432,0.1880,0.413
0.348086,-0.2956,-0.2504,0.1952,0.434
0.348334,-0.3028,-0.2600,0.2024,0.447
0.354843,-0.3194,-0.3108,0.2191,0.497
0.355755,-0.3314,-0.3252,0.2239,0.515
0.355986,-0.3481,-0.3300,0.2407,0.537
0.373675,-0.3722,-0.2884,0.2593,0.538
0.374486,-0.3722,-0.2908,0.2545,0.537
0.374697,-0.3746,-0.2932,0.2784,0.551
0.374865,-0.3794,-0.3004,0.2904,0.564
0.375038,-0.3794,-0.2812,0.2856,0.552
0.414554,-0.2442,-0.1232,0.1086,0.294
0.416199,-0.2322,-0.0921,0.0919,0.266
0.416561,-0.2346,-0.0706,0.0775,0.257
0.416813,-0.2250,-0.0610,0.0632,0.242
0.417055,-0.2250,-0.0322,0.0560,0.234
0.454035,-0.1490,0.1308,0.1409,0.243
0.454876,-0.1562,0.1212,0.1745,0.264
0.455067,-0.1610,0.1141,0.1816,0.268
0.455226,-0.1610,0.1045,0.2104,0.285
0.455367,-0.1610,0.0901,0.2271,0.293
0.493196,-0.1708,-0.2339,0.2412,0.377
0.493991,-0.1612,-0.2578,0.2484,0.393
0.494216,-0.1516,-0.2866,0.2508,0.410
0.494444,-0.1468,-0.2961,0.2460,0.412
0.494616,-0.1468,-0.2961,0.2604,0.421
0.544858,0.0807,-0.2780,0.4932,0.572
0.545679,0.1046,-0.2636,0.5147,0.588
0.545848,0.1166,-0.2612,0.5339,0.606
0.546021,0.1309,-0.2564,0.5363,0.609
0.546161,0.1429,-0.2493,0.5506,0.621
0.573971,0.2323,-0.1100,0.2872,0.385
0.574803,0.2394,-0.1029,0.2705,0.376
0.575055,0.2490,-0.0861,0.2657,0.374
0.575296,0.2514,-0.0598,0.2585,0.366
0.575977,0.2634,-0.0478,0.2202,0.347
0.613729,0.7703,0.6778,0.3229,1.076
0.653703,1.3074,0.4824,-0.1292,1.400
0.693188,0.2848,0.2574,-0.5512,0.672
0.694126,0.1986,0.2598,-0.5703,0.657
0.694544,0.1244,0.2574,-0.5823,0.649
0.694749,0.0526,0.2478,-0.5895,0.642
0.694941,0.0191,0.2550,-0.5943,0.647
0.739062,-0.1520,-0.1991,-1.0429,1.073
0.740120,-0.1257,-0.2470,-1.0405,1.077
0.773866,0.6684,-1.0341,-0.6275,1.382
0.774855,0.7019,-1.0724,-0.5772,1.406
0.775138,0.7402,-1.0939,-0.5293,1.423
0.813438,1.0343,-1.1689,-0.0245,1.561
0.814893,0.9984,-1.1401,0.0114,1.516
0.815279,0.9553,-1.0970,0.0425,1.455
0.816630,0.9122,-1.0563,0.0761,1.398
0.817931,0.8643,-0.9893,0.1144,1.319
0.854986,-0.1284,0.6958,0.2387,0.747
0.856868,-0.1667,0.8060,0.2171,0.851
0.857094,-0.2146,0.9161,0.2028,0.962
0.857209,-0.2577,1.0071,0.1860,1.056
0.857345,-0.2936,1.0909,0.1621,1.141
