time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002448,-0.0306,-0.0550,-0.0207,0.066
0.003000,-0.0162,-0.0407,-0.0159,0.047
0.003205,-0.0090,-0.0383,-0.0111,0.041
0.021525,0.0154,-0.0021,0.0191,0.025
0.022004,0.0083,0.0074,0.0024,0.011
0.022162,0.0083,0.0098,0.0191,0.023
0.022289,-0.0037,0.0074,0.0215,0.023
0.022464,-0.0133,0.0242,0.0120,0.030
0.058373,0.0013,-0.2439,-0.0113,0.244
0.098795,-0.0171,-0.1074,0.0100,0.109
0.099525,-0.0315,-0.0547,-0.0091,0.064
0.099725,-0.0458,-0.0092,-0.0402,0.062
0.100024,-0.0554,0.0051,-0.0594,0.081
0.100198,-0.0698,0.0243,-0.0977,0.122
0.119593,-0.0844,-0.0260,-0.2268,0.243
0.120461,-0.0820,-0.0500,-0.2268,0.246
0.120692,-0.0796,-0.0667,-0.2220,0.245
0.139999,-0.0070,-0.1357,-0.1189,0.181
0.179350,-0.0317,0.0255,-0.0422,0.059
0.198869,-0.0383,0.0134,-0.1282,0.134
0.199603,-0.0335,0.0062,-0.1450,0.149
0.199837,-0.0287,0.0014,-0.1426,0.145
0.220289,0.0727,0.0069,-0.0818,0.110
0.221400,0.0847,0.0093,-0.0651,0.107
0.221660,0.1015,0.0212,-0.0507,0.115
0.221943,0.1110,0.0260,-0.0292,0.118
0.222197,0.1158,0.0212,-0.0220,0.120
0.258813,-0.0003,-0.0836,0.0522,0.099
0.260628,-0.0123,-0.0836,0.0450,0.096
0.260969,-0.0219,-0.0932,0.0330,0.101
0.261202,-0.0386,-0.1123,0.0378,0.125
0.261444,-0.0554,-0.1219,0.0259,0.136
0.278410,-0.0553,-0.1688,0.0125,0.178
0.279293,-0.0457,-0.1640,0.0125,0.171
0.279591,-0.0505,-0.1616,0.0149,0.170
0.299962,-0.0031,-0.1540,0.0477,0.161
0.301448,0.0065,-0.1444,0.0501,0.153
0.301811,0.0089,-0.1516,0.0381,0.157
0.302035,0.0065,-0.1420,0.0429,0.149
0.302259,0.0113,-0.1277,0.0333,0.132
0.309915,0.0150,-0.1129,0.0251,0.117
0.310603,0.0126,-0.1200,0.0179,0.122
0.310807,0.0126,-0.1081,0.0251,0.112
0.310927,0.0222,-0.1057,0.0179,0.109
