time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002564,0.0316,-0.1195,0.0673,0.141
0.003142,0.0388,-0.1291,0.0554,0.146
0.003336,0.0292,-0.1147,0.0577,0.132
0.003502,0.0244,-0.1051,0.0530,0.120
0.003674,0.0268,-0.0955,0.0458,0.109
0.017637,-0.0037,-0.0738,-0.0029,0.074
0.018152,-0.0205,-0.0810,0.0019,0.084
0.018614,-0.0157,-0.0810,-0.0029,0.083
0.032377,-0.0149,-0.0403,0.0025,0.043
0.032956,-0.0125,-0.0379,-0.0167,0.043
0.033114,-0.0053,-0.0427,-0.0334,0.054
0.033236,0.0019,-0.0451,-0.0454,0.064
0.033370,-0.0005,-0.0451,-0.0430,0.062
0.088069,0.0629,-0.0079,0.0452,0.078
0.089131,0.0629,-0.0031,0.0548,0.083
0.089366,0.0605,-0.0079,0.0452,0.076
0.089731,0.0461,-0.0270,0.0380,0.066
0.089922,0.0461,-0.0366,0.0332,0.068
0.090154,0.0444,-0.0458,0.0180,0.066
0.090325,0.0397,-0.0673,0.0252,0.082
0.090481,0.0373,-0.1032,0.0252,0.113
0.090633,0.0325,-0.1343,0.0252,0.140
0.112718,0.0245,-0.2356,0.0898,0.253
0.113425,0.0197,-0.2284,0.0850,0.245
0.113595,0.0101,-0.2140,0.0994,0.236
0.113696,0.0101,-0.2140,0.0922,0.233
0.113785,-0.0018,-0.1877,0.1041,0.215
0.153065,-0.0791,-0.0705,-0.1349,0.172
0.154232,-0.0815,-0.0657,-0.1469,0.180
0.154521,-0.0791,-0.0681,-0.1517,0.184
0.154729,-0.0839,-0.0609,-0.1636,0.194
0.154984,-0.0767,-0.0585,-0.1517,0.180
0.192561,-0.0070,0.0385,-0.0372,0.054
0.193664,-0.0070,0.0433,-0.0395,0.059
0.193852,-0.0046,0.0577,-0.0180,0.061
0.194035,0.0002,0.0625,-0.0180,0.065
0.194196,0.0073,0.0601,-0.0156,0.062
0.232553,0.0346,0.0852,0.0120,0.093
0.233280,0.0538,0.0804,0.0120,0.097
0.288807,-0.0191,0.1432,0.0083,0.145
0.289976,0.0312,0.1002,0.0083,0.105
0.312306,0.0550,-0.2146,0.0997,0.243
0.313065,0.0478,-0.2433,0.0830,0.262
0.313271,0.0669,-0.2745,0.0686,0.291
0.313842,0.1100,-0.2888,0.0087,0.309
0.314069,0.1244,-0.3128,-0.0367,0.339
0.352654,0.1082,-0.2296,-0.0864,0.268
0.353335,0.1130,-0.2081,-0.0959,0.255
0.353584,0.1034,-0.1985,-0.1055,0.247
0.353749,0.0843,-0.1817,-0.1175,0.232
0.353869,0.0484,-0.1745,-0.1343,0.225
0.392794,-0.2329,-0.0871,-0.0415,0.252
0.433885,-0.2003,0.2261,0.0245,0.303
0.481643,-0.2983,0.1604,-0.0611,0.344
0.482622,-0.2959,0.1532,-0.0611,0.339
0.482732,-0.2840,0.1532,-0.0539,0.327
0.482815,-0.2600,0.1340,-0.0419,0.296
0.482925,-0.2528,0.1221,-0.0395,0.284
0.511969,-0.1071,-0.1640,0.0740,0.209
0.512359,-0.1095,-0.1880,0.0788,0.231
0.512436,-0.1047,-0.2095,0.0860,0.250
0.512520,-0.0975,-0.2215,0.0908,0.258
0.512591,-0.0879,-0.2431,0.0884,0.273
0.553553,0.0409,-0.1871,-0.1393,0.237
0.566916,0.0625,-0.1528,-0.1406,0.217
0.567361,0.0817,-0.1384,-0.1478,0.218
0.567562,0.0937,-0.1097,-0.1406,0.201
0.567726,0.1152,-0.0882,-0.1286,0.194
0.584962,0.1538,-0.0464,-0.1310,0.207
0.585708,0.1730,-0.0249,-0.1167,0.210
0.585986,0.1849,-0.0105,-0.1143,0.218
0.592884,0.2901,0.1511,-0.0594,0.332
0.593430,0.2901,0.1655,-0.0475,0.337
