time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005896,-0.0253,-0.0175,-0.0834,0.089
0.006498,-0.0062,-0.0367,-0.0858,0.093
0.006669,-0.0086,-0.0462,-0.0930,0.104
0.006804,0.0010,-0.0391,-0.0977,0.105
0.006944,-0.0038,-0.0414,-0.1145,0.122
0.043332,0.0764,-0.1275,-0.0126,0.149
0.044240,0.0740,-0.1227,-0.0031,0.143
0.044450,0.1099,-0.1227,0.0017,0.165
0.044673,0.0812,-0.1107,0.0113,0.138
0.044865,0.0620,-0.0772,0.0352,0.105
0.063317,0.0571,-0.0482,0.0519,0.091
0.063771,0.0236,-0.0267,0.0543,0.065
0.064015,0.0188,-0.0099,0.0423,0.047
0.086718,-0.0176,-0.0119,-0.0112,0.024
0.087319,-0.0248,-0.0119,-0.0016,0.028
0.087430,-0.0703,0.0024,-0.0088,0.071
0.087516,-0.0512,0.0096,-0.0184,0.055
0.087607,-0.0344,-0.0119,-0.0136,0.039
0.124705,-0.0080,-0.0992,0.0081,0.100
0.163396,-0.0074,-0.0908,-0.0707,0.115
0.164267,0.0093,-0.0884,-0.0539,0.104
0.164558,0.0045,-0.0932,-0.0707,0.117
0.164749,0.0069,-0.0884,-0.0755,0.116
0.164944,0.0069,-0.0884,-0.0731,0.115
0.203965,0.0621,-0.1007,-0.0221,0.120
0.204769,0.0454,-0.0648,-0.0245,0.083
0.205000,0.0095,-0.0241,-0.0245,0.036
0.205247,-0.0193,-0.0073,-0.0389,0.044
0.205454,-0.0073,-0.0049,-0.0413,0.042
0.223581,0.0866,-0.0445,-0.0764,0.124
0.224474,0.0818,-0.0397,-0.0788,0.120
0.224770,0.0938,-0.0469,-0.0764,0.130
0.243969,0.0480,0.0452,-0.0066,0.066
0.244617,0.0551,0.0572,-0.0090,0.080
0.244860,0.0480,0.0476,-0.0233,0.071
0.245205,0.0456,0.0524,-0.0233,0.073
0.245509,0.0432,0.0428,-0.0185,0.064
0.288370,0.1184,-0.0713,0.0133,0.139
0.289268,0.1327,-0.0737,0.0157,0.153
0.289490,0.1375,-0.0761,0.0205,0.158
0.289654,0.1303,-0.0737,0.0157,0.151
0.289833,0.1375,-0.0665,0.0085,0.153
0.324007,0.0437,-0.0930,0.0031,0.103
0.324704,0.0509,-0.1050,-0.0136,0.117
0.324912,0.0557,-0.1145,-0.0160,0.128
0.325110,0.0557,-0.1241,-0.0232,0.138
0.325290,0.0557,-0.1289,-0.0280,0.143
0.363393,0.0397,-0.1241,-0.0274,0.133
0.364454,0.0373,-0.1289,-0.0130,0.135
0.364658,0.0301,-0.1313,-0.0034,0.135
0.364788,0.0254,-0.1313,0.0133,0.134
0.364917,0.0277,-0.1217,0.0253,0.127
0.404049,-0.2408,-0.1042,0.0888,0.277
0.405098,-0.2048,-0.0778,0.0864,0.236
0.405390,-0.1546,-0.0563,0.0744,0.181
0.405627,-0.0971,-0.0395,0.0553,0.119
0.405881,-0.0588,-0.0419,0.0313,0.079
0.413748,-0.0452,-0.0409,0.0070,0.061
0.414337,-0.0428,-0.0529,-0.0169,0.070
0.414608,-0.0500,-0.0577,-0.0385,0.086
0.414998,-0.0476,-0.0673,-0.0648,0.105
0.423718,-0.0286,-0.0665,-0.0950,0.119
0.425611,-0.0023,-0.0761,-0.1046,0.129
0.426237,0.0073,-0.0545,-0.1094,0.122
0.443693,0.1403,-0.0762,-0.1108,0.194
