time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002333,0.0883,-0.2946,-0.1366,0.336
0.030911,0.1909,-0.1343,-0.0742,0.245
0.031946,0.1933,-0.1511,-0.0574,0.252
0.071299,0.0014,-0.1498,0.0631,0.163
0.072009,-0.0058,-0.1666,0.0894,0.189
0.111797,-0.1543,0.0158,-0.0337,0.159
0.112624,-0.1639,0.0014,-0.0481,0.171
0.168276,-0.0754,0.0018,-0.0007,0.075
0.169323,-0.0754,-0.0006,-0.0294,0.081
0.169596,-0.0802,-0.0246,-0.0366,0.091
0.169768,-0.0873,-0.0365,-0.0486,0.106
0.169930,-0.0826,-0.0389,-0.0797,0.121
0.173474,-0.0791,-0.0731,-0.0683,0.128
0.173843,-0.0719,-0.0755,-0.0659,0.123
0.174111,-0.0623,-0.0899,-0.0875,0.140
0.192859,0.0718,-0.0617,-0.0240,0.098
0.193952,0.0670,-0.0497,-0.0096,0.084
0.232205,0.0018,-0.0228,-0.0577,0.062
0.234001,-0.0054,-0.0300,-0.0625,0.070
0.234499,-0.0102,-0.0204,-0.0601,0.064
0.234786,-0.0078,-0.0180,-0.0744,0.077
0.235059,-0.0078,-0.0013,-0.0768,0.077
0.251277,0.0325,-0.0038,-0.0301,0.044
0.252077,0.0420,0.0034,-0.0134,0.044
0.252191,0.0444,0.0034,-0.0253,0.051
0.274340,0.0553,-0.0106,0.0189,0.059
0.290814,0.0440,-0.0650,0.0337,0.085
0.291325,0.0440,-0.0746,0.0290,0.091
0.291451,0.0344,-0.0889,0.0170,0.097
0.310858,0.0334,-0.0815,-0.0340,0.094
0.311204,0.0334,-0.0744,-0.0435,0.092
0.311274,0.0382,-0.0576,-0.0316,0.076
0.311344,0.0406,-0.0480,-0.0124,0.064
0.311402,0.0382,-0.0504,-0.0172,0.066
0.351745,0.0337,-0.1029,0.0414,0.116
0.352073,0.0432,-0.0981,0.0462,0.117
0.352159,0.0552,-0.1029,0.0462,0.126
0.352223,0.0432,-0.0957,0.0390,0.112
0.352286,0.0289,-0.0909,0.0342,0.101
0.392214,0.0290,0.0215,-0.0510,0.062
0.392682,0.0266,0.0167,-0.0510,0.060
0.392775,0.0074,0.0143,-0.0462,0.049
0.392854,0.0122,0.0071,-0.0367,0.039
0.392912,0.0122,-0.0025,-0.0295,0.032
0.401740,0.0061,-0.0095,-0.0273,0.030
0.401974,0.0061,-0.0167,-0.0129,0.022
0.402059,-0.0059,-0.0191,0.0182,0.027
0.402121,0.0013,-0.0359,0.0254,0.044
0.431180,0.0263,-0.1286,0.0444,0.139
0.431467,0.0311,-0.1333,0.0444,0.144
0.431539,0.0335,-0.1309,0.0468,0.143
0.431606,0.0335,-0.1357,0.0468,0.147
0.431668,0.0430,-0.1214,0.0396,0.135
0.451494,0.0756,-0.1066,0.0067,0.131
0.451829,0.0780,-0.1090,-0.0125,0.135
0.451901,0.0732,-0.1066,-0.0245,0.132
0.472072,0.0272,-0.0921,-0.0378,0.103
0.472360,0.0344,-0.1089,-0.0186,0.116
0.472430,0.0392,-0.1065,-0.0282,0.117
0.472502,0.0464,-0.1041,-0.0090,0.114
0.472567,0.0512,-0.1017,-0.0162,0.115
0.511062,0.0282,-0.0327,0.0419,0.060
0.511369,0.0282,-0.0255,0.0419,0.057
0.552320,-0.2014,-0.2936,-0.1267,0.378
0.552722,0.0476,-0.2361,-0.0956,0.259
0.552813,0.1123,-0.2265,-0.0573,0.259
0.552904,0.0811,-0.2457,-0.0285,0.260
0.552983,0.0787,-0.2672,-0.0046,0.279
0.571018,0.1115,-0.1890,0.0552,0.226
0.571280,0.1091,-0.2609,0.0456,0.286
0.571346,0.1427,-0.2178,0.0337,0.262
0.591680,0.7012,-0.0557,-0.0758,0.708
0.592209,0.6318,-0.0509,-0.1165,0.644
0.611525,0.3527,-0.0562,-0.1854,0.402
0.611770,0.0247,0.1258,-0.0442,0.136
0.611842,-0.8084,0.4251,0.3389,0.974
0.631152,-0.5801,-0.1520,-0.2091,0.635
0.631411,-0.5920,-0.2047,-0.1971,0.657
0.631474,-0.5729,-0.2454,-0.1900,0.652
0.631539,-0.4819,-0.2502,-0.1612,0.566
0.631602,-0.3957,-0.2286,-0.1445,0.479
0.671458,0.0669,-0.0115,0.0257,0.073
0.671734,0.1819,-0.0091,0.0329,0.185
0.712253,-0.2670,-0.1898,-0.0837,0.338
0.712543,-0.2072,-0.2065,-0.0742,0.302
0.731880,0.0491,0.0423,-0.0283,0.071
0.732190,0.0491,0.0207,-0.0068,0.054
0.732263,0.0994,0.0375,0.0004,0.106
0.752892,0.2883,0.2721,-0.0059,0.396
0.771417,0.2096,0.1728,-0.0362,0.274
0.771707,0.2096,0.1609,-0.0362,0.267
0.771770,0.2000,0.1465,-0.0266,0.249
0.791812,0.2716,-0.0248,0.0388,0.275
0.792210,0.2955,-0.0368,0.0388,0.300
0.831378,0.3573,-0.3248,0.0304,0.484
0.831679,0.3525,-0.3368,0.0567,0.491
0.831740,0.3549,-0.3607,0.0831,0.513
0.831798,0.3525,-0.3583,0.0950,0.512
0.831915,0.3357,-0.3679,0.1333,0.516
0.852226,0.2913,-0.3679,0.1016,0.480
0.852557,0.2794,-0.3464,0.0728,0.451
0.852637,0.2626,-0.3392,0.0561,0.433
0.871983,0.0705,-0.1559,-0.2050,0.267
0.872276,0.0322,-0.1248,-0.2194,0.254
0.872354,0.0130,-0.0960,-0.2433,0.262
0.872412,-0.0205,-0.0721,-0.2481,0.259
0.872466,-0.0421,-0.0434,-0.2768,0.283
0.911456,-0.2832,0.1314,-0.1231,0.336
0.911743,-0.2808,0.1266,-0.1135,0.328
0.911818,-0.2904,0.1314,-0.1039,0.335
0.911879,-0.3048,0.1386,-0.0896,0.347
0.911936,-0.3048,0.1362,-0.0848,0.344
0.931350,-0.2796,0.1271,0.0216,0.308
0.931640,-0.2844,0.1175,0.0480,0.311
0.931707,-0.2772,0.1151,0.0671,0.308
0.952274,-0.2160,0.0195,0.2212,0.310
0.952614,-0.2256,0.0051,0.2524,0.339
0.952678,-0.2184,-0.0117,0.2667,0.345
0.952745,-0.2327,-0.0356,0.2811,0.367
0.952801,-0.2375,-0.0548,0.3026,0.389
0.971480,-0.2779,-0.1462,0.2773,0.419
0.971743,-0.2899,-0.1678,0.2629,0.426
0.971817,-0.2994,-0.1678,0.2605,0.431
0.991678,-0.3236,-0.2667,0.0834,0.428
0.991901,-0.3212,-0.2667,0.0714,0.424
0.992046,-0.3140,-0.2763,0.0834,0.426
1.002010,-0.2938,-0.2829,0.0887,0.417
1.002197,-0.2842,-0.2829,0.0767,0.408
1.002268,-0.2699,-0.2877,0.0695,0.401
1.002334,-0.2531,-0.2997,0.0911,0.403
1.032043,-0.0811,-0.3600,0.1590,0.402
1.032339,-0.0835,-0.3505,0.1278,0.382
1.072247,-0.0584,-0.1717,-0.0566,0.190
1.072934,-0.0584,-0.1597,-0.0374,0.174
1.073134,-0.0584,-0.1550,-0.0398,0.170
1.073290,-0.0560,-0.1358,-0.0422,0.153
1.073413,-0.0392,-0.1262,-0.0350,0.137
1.112736,-0.0207,0.0914,0.0755,0.120
1.113512,-0.0231,0.0842,0.0755,0.115
1.113753,-0.0231,0.0890,0.0755,0.119
1.113954,-0.0112,0.0914,0.0803,0.122
1.114165,-0.0112,0.0890,0.0850,0.124
1.144607,-0.0300,0.0167,0.1472,0.151
1.144995,-0.0300,0.0048,0.1592,0.162
1.164177,-0.0614,-0.0745,0.2065,0.228
1.164775,-0.0710,-0.0841,0.2209,0.247
1.172219,-0.1085,-0.1343,0.2157,0.276
1.172690,-0.1157,-0.1367,0.2205,0.284
1.172817,-0.1277,-0.1510,0.2253,0.300
1.193442,-0.1665,-0.1729,0.1017,0.261
1.194027,-0.1689,-0.1729,0.0777,0.254
1.194225,-0.1617,-0.1681,0.0634,0.242
1.194417,-0.1617,-0.1801,0.0490,0.247
1.194600,-0.1617,-0.1729,0.0131,0.237
1.212786,-0.1372,-0.1826,-0.0219,0.229
1.213509,-0.1300,-0.1898,-0.0195,0.231
1.213776,-0.1276,-0.1922,-0.0219,0.232
1.233793,-0.0888,-0.2725,0.0368,0.289
1.263881,-0.0570,-0.2361,-0.0363,0.246
1.264588,-0.0451,-0.2217,-0.0602,0.234
1.264738,-0.0283,-0.2121,-0.0961,0.235
1.272751,0.1067,-0.0790,-0.2971,0.325
1.273342,0.1211,-0.0599,-0.3091,0.337
1.273484,0.1402,-0.0527,-0.3306,0.363
1.273596,0.1570,-0.0407,-0.3522,0.388
1.273702,0.1737,-0.0192,-0.3474,0.389
1.292381,0.2071,-0.0338,-0.2274,0.309
1.292959,0.2262,-0.0362,-0.1962,0.302
1.293321,0.2238,-0.0362,-0.1747,0.286
1.312432,0.1200,-0.1477,0.0872,0.209
1.312943,0.1104,-0.1548,0.0872,0.209
1.322750,0.0848,-0.1546,0.1060,0.206
1.322965,0.0705,-0.1426,0.0916,0.184
1.323023,0.0561,-0.1330,0.0868,0.168
1.323074,0.0561,-0.1282,0.0772,0.160
1.352764,-0.0781,-0.0896,0.0693,0.138
1.353124,-0.0900,-0.0872,0.0861,0.152
1.353198,-0.1020,-0.0896,0.0789,0.157
1.353255,-0.1068,-0.0848,0.0861,0.161
1.353311,-0.1140,-0.0944,0.1052,0.182
1.363277,-0.1481,-0.0990,0.1413,0.227
1.363659,-0.1577,-0.1133,0.1461,0.243
1.363763,-0.1649,-0.1038,0.1556,0.249
1.363879,-0.1721,-0.1014,0.1628,0.258
1.372447,-0.2111,-0.1201,0.1979,0.313
1.372902,-0.2350,-0.1129,0.2194,0.341
1.373132,-0.2494,-0.1177,0.2218,0.354
1.392889,-0.3321,-0.0480,0.1561,0.370
1.393547,-0.3345,-0.0384,0.1513,0.369
1.393772,-0.3297,-0.0313,0.1345,0.357
1.413198,-0.2930,-0.0048,0.0957,0.308
1.413861,-0.2763,-0.0048,0.1052,0.296
1.414161,-0.2547,-0.0120,0.0980,0.273
1.434818,-0.1926,-0.1133,0.2216,0.315
1.435522,-0.1878,-0.1133,0.1977,0.295
1.471005,-0.1748,-0.1155,0.1613,0.264
1.471962,-0.1748,-0.1107,0.1254,0.242
1.472149,-0.1604,-0.1107,0.1014,0.220
1.478415,0.0244,-0.0482,-0.0884,0.104
1.479130,0.0627,-0.0506,-0.0668,0.105
1.513153,0.4763,-0.2711,0.0638,0.552
1.513849,0.4715,-0.2759,0.0494,0.549
1.514001,0.4691,-0.2807,0.0327,0.548
1.514181,0.4572,-0.2903,0.0111,0.542
1.514319,0.4452,-0.2831,-0.0032,0.528
1.565008,0.2017,-0.2733,-0.0498,0.343
1.566240,0.2089,-0.2805,-0.0450,0.353
1.566606,0.2160,-0.2781,-0.0546,0.356
1.566859,0.2232,-0.2709,-0.0666,0.357
1.567179,0.2376,-0.2757,-0.0618,0.369
1.593335,0.2047,-0.1509,0.1160,0.280
1.593985,0.1975,-0.1437,0.0993,0.264
1.633850,0.0344,0.0479,-0.0850,0.103
1.634674,0.0412,0.0504,-0.0915,0.112
1.635145,0.0627,0.0600,-0.1059,0.137
1.635325,0.0723,0.0624,-0.1202,0.154
1.635480,0.0843,0.0600,-0.1178,0.157
1.666228,0.0541,0.0151,-0.0308,0.064
1.667345,0.0613,0.0103,-0.0308,0.069
1.670290,0.0804,0.0055,-0.0236,0.084
1.674368,0.0210,-0.0054,-0.0159,0.027
1.674890,0.0114,-0.0006,-0.0327,0.035
1.675127,0.0018,-0.0054,-0.0494,0.050
1.675357,0.0042,-0.0006,-0.0566,0.057
1.675567,0.0018,-0.0054,-0.0734,0.074
1.714193,-0.0999,-0.1736,-0.0442,0.205
1.714748,-0.0975,-0.1903,-0.0442,0.218
1.764763,-0.0364,-0.2816,-0.0402,0.287
1.766212,-0.0244,-0.2936,-0.0402,0.297
1.766519,0.0091,-0.2936,-0.0378,0.296
1.766700,0.0235,-0.2936,-0.0450,0.298
1.766863,0.0378,-0.2984,-0.0545,0.306
1.767065,0.0410,-0.3159,-0.0198,0.319
1.767260,0.0554,-0.3327,-0.0246,0.338
1.767445,0.0578,-0.3375,-0.0342,0.344
1.767646,0.0673,-0.3471,-0.0510,0.357
1.773004,0.0364,-0.3580,-0.0454,0.363
1.773633,0.0269,-0.3556,-0.0981,0.370
1.773917,0.0269,-0.3556,-0.1340,0.381
1.793437,-0.1562,-0.1528,-0.5030,0.548
1.794047,-0.1658,-0.1192,-0.4959,0.536
1.834258,-0.2229,0.2538,0.0791,0.347
1.835073,-0.1678,0.2060,0.0647,0.273
1.873868,0.3195,-0.5394,0.3228,0.705
1.874598,0.2972,-0.6116,0.3340,0.758
1.874827,0.2781,-0.6714,0.3435,0.804
1.874998,0.2685,-0.6882,0.3531,0.819
1.875335,0.2446,-0.7121,0.3651,0.837
1.883560,0.1819,-0.7152,0.4488,0.864
1.883939,0.1652,-0.7272,0.4344,0.863
1.884044,0.1556,-0.7081,0.4368,0.846
1.884165,0.1412,-0.6913,0.4392,0.831
1.914907,-0.2711,-0.1117,0.5088,0.587
1.934202,-0.2869,0.0383,0.5958,0.662
1.934888,-0.2869,0.0575,0.5838,0.653
1.935206,-0.2917,0.0695,0.5646,0.639
1.953940,-0.2338,0.1176,0.4527,0.523
1.954344,-0.2266,0.1128,0.4240,0.494
1.993814,-0.2186,-0.2838,0.9398,1.006
1.994556,-0.2473,-0.3269,0.9829,1.065
1.994752,-0.2832,-0.3269,1.0093,1.098
1.994940,-0.2832,-0.3412,1.0452,1.135
1.995105,-0.2640,-0.4154,1.0524,1.162
2.004362,-0.2732,-0.4755,1.0936,1.223
2.004984,-0.2708,-0.5474,1.0745,1.236
2.005397,-0.2588,-0.6359,1.0410,1.247
2.005618,-0.2564,-0.6647,1.0122,1.238
2.034145,0.1098,-0.2899,0.1219,0.333
2.034940,0.1481,-0.2708,0.0908,0.322
2.075385,1.1699,-0.0616,-0.4262,1.247
2.076728,1.1818,-0.0304,-0.5196,1.291
2.114552,0.7796,1.1791,-1.5658,2.109
2.115323,0.7844,1.1983,-1.6137,2.158
2.116173,0.8156,1.2175,-1.6281,2.190
2.154610,0.6276,1.1579,-1.8218,2.248
2.155194,0.6109,1.1244,-1.8625,2.260
2.155518,0.5774,1.0622,-1.8960,2.249
2.155752,0.5343,1.0191,-1.9224,2.240
2.155966,0.5008,0.9616,-1.9439,2.226
2.173048,0.4408,0.9207,-1.9207,2.175
2.174238,0.3929,0.8561,-1.8944,2.116
2.174492,0.3450,0.7771,-1.8369,2.024
2.174849,0.3187,0.7436,-1.8153,1.987
2.175071,0.2316,0.6077,-1.6468,1.771
2.175486,0.1957,0.5406,-1.5725,1.674
2.175785,0.1574,0.4760,-1.5055,1.587
2.194224,-0.0859,0.0172,-1.2127,1.216
2.195221,-0.0835,0.0100,-1.2390,1.242
2.204877,-0.0599,0.0359,-1.2781,1.280
2.205623,-0.0145,0.0575,-1.3379,1.339
2.205943,0.0310,0.1030,-1.4098,1.414
2.206153,0.0646,0.1437,-1.4792,1.488
2.235483,0.6103,0.8708,-1.6974,2.003
2.236182,0.6749,0.9259,-1.6807,2.034
2.236486,0.7324,0.9666,-1.6711,2.065
2.236738,0.8018,0.9882,-1.6831,2.110
2.237056,0.8665,1.0217,-1.6735,2.144
2.245044,0.9262,1.0519,-1.6433,2.160
2.245999,1.0220,1.0734,-1.6337,2.206
2.246318,1.1058,1.0806,-1.6050,2.229
2.246777,1.1896,1.0974,-1.5907,2.269
2.256536,1.3140,1.1348,-1.5109,2.302
2.257956,1.3978,1.1516,-1.4942,2.348
2.258220,1.4529,1.1755,-1.5109,2.403
2.279581,1.7951,1.2292,-1.7258,2.777
2.280670,1.7736,1.2101,-1.7474,2.768
2.293996,1.5299,1.1010,-1.8347,2.630
2.294698,1.4604,1.0842,-1.8395,2.587
2.294952,1.4293,1.0747,-1.8443,2.569
2.314799,0.9443,0.9080,-1.4381,1.945
2.353878,0.6694,0.4789,-1.1641,1.426
2.354507,0.6526,0.4238,-1.1474,1.386
2.354693,0.6431,0.3616,-1.1210,1.342
2.354827,0.6383,0.3233,-1.0923,1.306
2.355071,0.6455,0.2993,-1.0731,1.288
2.394740,0.3253,0.2488,-1.6189,1.670
2.414072,0.2863,0.3379,-1.5107,1.574
2.414533,0.2767,0.3451,-1.4772,1.542
2.414701,0.2839,0.3427,-1.4030,1.472
2.434520,0.4360,0.3548,-0.7540,0.941
2.435071,0.4696,0.3644,-0.7540,0.960
2.477649,0.8964,0.7619,-0.9801,1.531
2.478930,0.8868,0.7643,-0.9682,1.519
2.479214,0.8724,0.7811,-0.9346,1.498
2.479429,0.8269,0.7763,-0.8868,1.440
2.479645,0.7647,0.7691,-0.8413,1.373
2.487202,0.7198,0.7678,-0.7823,1.311
2.487798,0.6839,0.7678,-0.7296,1.261
2.488011,0.6480,0.7678,-0.6865,1.217
2.488219,0.5929,0.7630,-0.6626,1.172
2.516192,0.2043,0.5324,-0.4577,0.731
2.525172,0.2299,0.5244,-0.4728,0.743
2.526027,0.2131,0.5052,-0.5016,0.743
2.526288,0.1892,0.4861,-0.5423,0.752
2.526468,0.1796,0.4669,-0.5806,0.766
2.536566,0.1872,0.4417,-0.6296,0.792
2.537336,0.1728,0.4417,-0.6727,0.823
2.537604,0.1561,0.4322,-0.7182,0.853
2.555334,0.0680,0.5546,-0.7493,0.935
2.555928,0.0632,0.5690,-0.7422,0.937
2.556149,0.0727,0.5881,-0.7134,0.927
2.556366,0.0680,0.6288,-0.6943,0.939
2.556566,0.0727,0.6671,-0.6536,0.937
2.580480,0.2945,0.8024,-0.3735,0.933
2.581512,0.3568,0.8120,-0.3280,0.946
2.581870,0.4166,0.8384,-0.2825,0.978
2.594776,0.8880,0.9859,-0.0052,1.327
2.595742,0.9359,1.0122,0.0068,1.379
2.595994,0.9646,1.0314,0.0379,1.413
2.596200,0.9838,1.0601,0.0643,1.448
2.596395,1.0005,1.0792,0.0930,1.475
2.635573,0.5610,1.1004,0.1962,1.251
2.636700,0.5467,1.0836,0.1316,1.221
2.637014,0.4844,1.0645,0.0262,1.170
2.637402,0.3958,1.0621,-0.0312,1.134
2.637675,0.3288,1.0525,-0.1102,1.108
2.675635,0.6010,0.8493,-1.4858,1.814
2.676038,0.6800,0.8301,-1.4642,1.815
2.676151,0.7399,0.8277,-1.4355,1.815
2.676213,0.7902,0.8158,-1.3804,1.788
2.676283,0.8093,0.8086,-1.3469,1.767
2.697216,1.1414,0.7910,-0.9402,1.677
2.698688,1.1845,0.7862,-0.8876,1.676
2.698903,1.2012,0.7862,-0.8492,1.668
2.714811,1.3342,0.6114,-1.0025,1.777
2.715579,1.3509,0.6162,-1.0672,1.829
2.715857,1.3533,0.6162,-1.1079,1.854
2.715970,1.3485,0.6617,-1.1127,1.869
2.716161,1.3342,0.6761,-1.1582,1.892
2.735091,1.3027,0.8554,-1.3744,2.078
2.736221,1.2668,0.8530,-1.3768,2.056
2.736479,1.1974,0.8314,-1.3864,2.012
2.754126,0.3098,0.1283,-0.9604,1.017
2.754597,0.2978,0.0828,-0.8982,0.950
2.795838,0.1254,0.1166,-0.0158,0.172
2.796516,0.1374,0.1358,0.0057,0.193
2.796643,0.1446,0.1525,0.0153,0.211
2.796767,0.1589,0.1645,0.0081,0.229
2.796871,0.1566,0.1573,0.0153,0.222
2.814393,0.2184,0.0870,-0.2265,0.326
2.815503,0.2088,0.0870,-0.2504,0.337
2.815821,0.2017,0.0918,-0.2504,0.334
2.834771,0.2356,-0.0309,-0.2773,0.365
2.836150,0.2740,-0.0549,-0.2557,0.379
2.836432,0.3170,-0.0884,-0.2318,0.403
2.836608,0.3530,-0.1291,-0.2222,0.437
2.836767,0.3841,-0.1626,-0.2150,0.469
2.881060,0.2614,-0.8206,-0.1320,0.871
2.882127,0.2279,-0.8206,-0.1272,0.861
2.916452,0.5300,-0.8109,0.1783,0.985
2.917635,0.5778,-0.8037,0.2214,1.014
2.917896,0.6138,-0.8205,0.2645,1.058
