time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009242,0.2212,-0.1027,-0.0188,0.245
0.010310,0.2259,-0.1003,-0.0092,0.247
0.010444,0.2235,-0.0907,0.0004,0.241
0.010543,0.2331,-0.0979,0.0195,0.254
0.010654,0.2499,-0.1027,0.0219,0.271
0.027649,0.2730,-0.1284,0.1217,0.325
0.028313,0.3089,-0.1236,0.1409,0.361
0.028468,0.2873,-0.1428,0.1361,0.349
0.047640,0.3116,-0.1643,0.1626,0.388
0.056568,0.3181,-0.1656,0.1719,0.398
0.057218,0.3253,-0.1656,0.1551,0.397
0.057424,0.3349,-0.1656,0.1407,0.399
0.057576,0.3373,-0.1537,0.1216,0.390
0.066398,0.3418,-0.1516,0.1092,0.389
0.067466,0.3394,-0.1444,0.1020,0.383
0.067737,0.3441,-0.1420,0.0829,0.381
0.090806,0.3763,-0.0843,0.0039,0.386
0.091869,0.4026,-0.0748,-0.0153,0.410
0.092082,0.3978,-0.0580,-0.0081,0.402
0.092291,0.4194,-0.0532,-0.0153,0.423
0.092499,0.4409,-0.0436,-0.0105,0.443
0.101681,0.4408,-0.0275,0.0056,0.442
0.102574,0.4600,-0.0060,0.0080,0.460
0.102814,0.4671,0.0060,-0.0040,0.467
0.103012,0.4791,0.0180,0.0176,0.480
0.108408,0.5007,0.0302,0.0122,0.502
0.109488,0.5151,0.0446,0.0146,0.517
0.109700,0.5270,0.0661,0.0290,0.532
0.127560,0.4989,0.1374,0.0354,0.519
0.128647,0.4941,0.1422,0.0330,0.515
0.128868,0.4893,0.1470,0.0330,0.512
0.129177,0.4701,0.1398,0.0306,0.491
0.129401,0.4629,0.1374,0.0402,0.485
0.145547,0.4249,0.1411,0.0421,0.450
0.146576,0.4010,0.1364,0.0517,0.427
0.146813,0.3842,0.1292,0.0565,0.409
0.147025,0.3627,0.1076,0.0780,0.386
0.182794,0.0469,-0.0681,0.1298,0.154
0.184168,0.0230,-0.0872,0.1369,0.164
0.184352,0.0086,-0.1016,0.1513,0.182
0.184504,-0.0249,-0.1160,0.1633,0.202
0.184640,-0.0369,-0.1184,0.1633,0.205
0.207739,-0.2387,-0.2478,0.1891,0.393
0.226635,-0.2300,-0.3077,0.1992,0.433
0.227471,-0.2300,-0.3173,0.1920,0.436
0.227687,-0.2395,-0.3293,0.2064,0.457
