time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002222,-0.1769,-0.0160,-0.2054,0.272
0.002678,-0.1865,-0.0136,-0.2054,0.278
0.002829,-0.1865,-0.0160,-0.2126,0.283
0.002955,-0.1841,-0.0184,-0.2054,0.276
0.003215,-0.1961,-0.0136,-0.2078,0.286
0.037583,-0.0840,-0.0061,-0.2029,0.220
0.038217,-0.0696,0.0010,-0.1981,0.210
0.038426,-0.0553,0.0058,-0.1885,0.197
0.038611,-0.0337,0.0178,-0.1861,0.190
0.038774,-0.0193,0.0202,-0.1885,0.191
0.057469,0.0495,0.0367,-0.1924,0.202
0.057979,0.0663,0.0343,-0.1781,0.193
0.058139,0.0735,0.0295,-0.1757,0.193
0.078837,0.0830,-0.0641,-0.1188,0.158
0.097512,0.0640,-0.0834,-0.1572,0.189
0.098061,0.0736,-0.0881,-0.1452,0.185
0.098221,0.0784,-0.0857,-0.1452,0.186
0.118543,0.1901,-0.0688,0.0428,0.207
0.131682,0.2164,-0.0759,0.0552,0.236
0.132388,0.2236,-0.0831,0.0480,0.243
0.132667,0.2356,-0.0783,0.0480,0.253
0.132905,0.2284,-0.0807,0.0600,0.250
0.157767,0.1286,-0.1294,-0.1173,0.217
0.158434,0.1191,-0.1365,-0.1125,0.213
0.158654,0.1095,-0.1509,-0.1125,0.218
0.159375,0.0927,-0.1653,-0.1245,0.227
0.159574,0.0879,-0.1724,-0.1197,0.228
0.197218,0.0782,-0.1766,0.0304,0.196
0.198788,0.0567,-0.1694,0.0208,0.180
0.199529,0.0519,-0.1790,0.0232,0.188
0.199746,0.0495,-0.1862,0.0160,0.193
0.199956,0.0495,-0.2006,0.0064,0.207
0.217691,0.0051,-0.1883,0.0264,0.190
0.218383,-0.0021,-0.1859,0.0288,0.188
0.218669,-0.0093,-0.1907,0.0455,0.196
0.237938,-0.0318,-0.1804,0.1176,0.218
0.238530,-0.0318,-0.1733,0.1200,0.213
0.238774,-0.0342,-0.1757,0.1152,0.213
0.239247,-0.0294,-0.1828,0.1152,0.218
0.239522,-0.0198,-0.1924,0.1128,0.224
0.250417,-0.0211,-0.1946,0.1158,0.227
0.251907,-0.0187,-0.2042,0.1206,0.238
0.252211,-0.0115,-0.1922,0.1278,0.231
0.252508,0.0053,-0.1970,0.1350,0.239
0.260319,0.0324,-0.1968,0.1304,0.238
0.260723,0.0300,-0.1848,0.1448,0.237
0.260900,0.0324,-0.1776,0.1424,0.230
0.282229,0.0403,-0.0785,0.1682,0.190
0.282724,0.0283,-0.0833,0.1946,0.214
0.282853,0.0451,-0.0761,0.1994,0.218
0.282952,0.0427,-0.1000,0.2113,0.238
0.283121,0.0595,-0.0857,0.2209,0.244
0.318767,0.0317,0.0424,0.1976,0.205
0.319483,0.0269,0.0328,0.1785,0.183
0.357825,0.0427,-0.2178,0.2567,0.339
0.358356,0.0475,-0.2106,0.2639,0.341
0.399630,0.0126,-0.4029,0.1633,0.435
0.400309,-0.0042,-0.4077,0.1680,0.441
0.401195,-0.0137,-0.4101,0.1728,0.445
0.401494,-0.0281,-0.4125,0.1872,0.454
0.401734,-0.0449,-0.3958,0.1728,0.434
0.418832,-0.1227,-0.3334,0.1680,0.393
0.419614,-0.1346,-0.3143,0.1464,0.372
0.419870,-0.1370,-0.2903,0.1416,0.351
0.437468,-0.2178,-0.1554,-0.0053,0.268
0.437963,-0.2154,-0.1386,-0.0173,0.257
0.438110,-0.2250,-0.1123,-0.0341,0.254
0.438244,-0.2274,-0.0907,-0.0700,0.255
0.438386,-0.2274,-0.0740,-0.0772,0.251
0.476447,-0.2182,0.0551,-0.0255,0.226
0.477276,-0.2278,0.0575,-0.0016,0.235
0.481749,-0.3405,0.0960,0.2451,0.430
0.519386,-0.7130,-0.0966,0.2424,0.759
0.520199,-0.7264,-0.1016,0.2227,0.767
0.520493,-0.7431,-0.1160,0.2012,0.779
0.520761,-0.7599,-0.1399,0.1701,0.791
0.521023,-0.7695,-0.1519,0.1509,0.799
0.557949,-0.8251,-0.1810,0.2548,0.882
0.558860,-0.8155,-0.1643,0.2476,0.868
0.598160,-0.2268,0.0454,0.3169,0.392
0.598776,-0.1622,0.0286,0.3432,0.381
0.598987,-0.1358,0.0214,0.3504,0.376
0.599284,-0.1215,0.0501,0.3193,0.345
0.599502,-0.0951,0.1028,0.3193,0.349
0.619529,0.1434,0.2678,0.3835,0.489
0.620396,0.1817,0.2774,0.3978,0.518
0.620708,0.2129,0.2989,0.4098,0.550
0.637557,0.4831,0.2931,0.5937,0.820
0.638012,0.5095,0.2763,0.5817,0.821
0.638159,0.5262,0.2619,0.5578,0.810
0.638306,0.5478,0.2476,0.5674,0.827
0.638431,0.5669,0.2332,0.5506,0.824
0.680210,0.3498,0.0820,0.1992,0.411
0.681038,0.3306,0.0676,0.1873,0.386
0.681295,0.2995,0.0532,0.1681,0.348
0.681489,0.2708,0.0341,0.1537,0.313
0.681709,0.2277,0.0149,0.1370,0.266
0.718811,-0.5795,-0.1832,-0.1530,0.627
0.719780,-0.6202,-0.1688,-0.1985,0.673
0.720071,-0.6585,-0.1521,-0.2272,0.713
0.720310,-0.6920,-0.1449,-0.2679,0.756
0.720566,-0.7447,-0.1186,-0.3038,0.813
0.728257,-0.7774,-0.0984,-0.3113,0.843
0.728751,-0.7870,-0.0625,-0.3376,0.859
0.729013,-0.8253,-0.0362,-0.3759,0.908
0.729234,-0.8516,0.0021,-0.3999,0.941
0.757796,-0.5203,0.5930,-0.5313,0.951
0.758991,-0.4557,0.6433,-0.5337,0.952
0.759263,-0.3743,0.6816,-0.5313,0.942
0.759394,-0.2953,0.7295,-0.5217,0.944
0.759677,-0.2163,0.7797,-0.5265,0.965
0.779589,0.2207,0.8539,-0.6069,1.071
0.781375,0.2878,0.8347,-0.6500,1.096
0.781798,0.3524,0.8108,-0.6907,1.122
0.797672,0.6047,0.3250,-0.8369,1.082
0.798156,0.5976,0.2507,-0.8202,1.045
0.798301,0.5856,0.1693,-0.7962,1.003
0.798406,0.5808,0.1382,-0.7771,0.980
0.798514,0.5664,0.0784,-0.7340,0.930
0.818235,0.3623,-0.3445,-0.3445,0.607
0.818908,0.3096,-0.3996,-0.2678,0.572
0.819291,0.2689,-0.4738,-0.2008,0.581
0.839250,-0.2670,-1.4886,0.0881,1.515
0.880540,-1.2298,-2.3173,0.0210,2.623
0.881502,-1.2873,-2.2407,0.1216,2.587
0.881772,-1.2825,-2.2024,0.1623,2.554
0.920105,0.0744,-0.8741,0.1135,0.885
0.957834,1.0051,1.0182,-0.1894,1.443
0.958876,1.0242,1.0852,-0.1870,1.504
0.959450,1.0458,1.2217,-0.1846,1.619
0.959884,1.0482,1.3414,-0.1918,1.713
0.960187,1.0482,1.4563,-0.1942,1.805
0.997525,0.2161,1.3848,-0.1280,1.407
0.998007,0.1682,1.2699,-0.1399,1.289
0.998116,0.1299,1.1454,-0.1423,1.161
0.998356,0.0939,1.0304,-0.1327,1.043
0.998464,0.0509,0.9299,-0.1256,0.940
1.008327,-0.0044,0.8153,-0.1153,0.823
1.009083,-0.0427,0.7052,-0.0842,0.711
1.009337,-0.0738,0.5807,-0.0411,0.587
1.009546,-0.1145,0.4562,0.0068,0.470
1.038005,-0.6424,-0.9227,0.3346,1.173
1.038639,-0.6927,-1.0448,0.3658,1.306
1.039147,-0.7358,-1.1573,0.4017,1.429
1.039421,-0.7741,-1.2722,0.4591,1.558
1.039779,-0.8148,-1.3776,0.5238,1.684
1.081831,-1.2943,-2.5432,0.9049,2.994
1.082717,-1.3159,-2.5600,0.8618,3.005
1.087482,-1.3177,-2.5721,0.8149,3.003
1.088161,-1.3344,-2.5865,0.7790,3.013
1.088514,-1.3560,-2.6008,0.7287,3.022
1.088878,-1.3584,-2.6080,0.6952,3.022
1.097710,-1.3372,-2.6320,0.6655,3.026
1.098248,-1.3301,-2.6392,0.6703,3.030
1.098677,-1.3348,-2.6631,0.6535,3.050
1.118381,-1.1173,-2.8718,0.6357,3.146
1.119545,-1.0958,-2.8909,0.6404,3.157
1.158068,-0.5771,-3.3464,0.2349,3.404
1.159551,-0.5628,-3.3536,0.1751,3.405
1.188154,-0.5244,-3.2961,-0.4553,3.368
1.198376,-0.4482,-2.9200,-0.2597,2.966
1.237512,-0.7515,-0.8321,0.2167,1.142
1.238108,-0.7802,-0.7436,0.2191,1.100
1.238288,-0.8233,-0.5568,0.2335,1.021
1.238456,-0.8449,-0.3653,0.2503,0.954
1.238614,-0.8880,-0.1618,0.2766,0.944
1.280036,-0.3361,1.3450,0.3706,1.435
1.280757,-0.3073,1.2444,0.2844,1.313
1.319392,0.5062,-0.4878,-0.9547,1.186
1.320040,0.5397,-0.5357,-0.9811,1.241
1.320175,0.5804,-0.5740,-0.9906,1.284
1.320369,0.6235,-0.5859,-0.9835,1.304
1.320564,0.6427,-0.5883,-0.9667,1.301
1.358749,1.2115,1.8580,-0.8114,2.362
1.374919,1.2851,2.0245,-0.8893,2.558
1.376942,1.3330,2.1969,-0.9802,2.750
1.377940,1.3928,2.3741,-1.0592,2.949
1.378283,1.4718,2.5417,-1.1215,3.144
1.397708,2.7101,4.5715,-0.7444,5.366
1.398558,2.8298,4.6936,-0.6319,5.517
1.398895,2.9352,4.7869,-0.5050,5.638
1.399357,3.0477,4.8540,-0.3829,5.744
1.399828,3.1387,4.9043,-0.2488,5.828
1.418462,3.1634,4.9667,0.3795,5.901
