time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010980,-0.0075,0.0427,-0.0801,0.091
0.012318,-0.0099,0.0427,-0.0921,0.102
0.012545,-0.0027,0.0283,-0.1088,0.113
0.012928,0.0044,0.0355,-0.0873,0.094
0.013118,0.0116,0.0307,-0.0921,0.098
0.019399,0.0170,0.0254,-0.1012,0.106
0.019815,0.0242,0.0254,-0.1036,0.109
0.019964,0.0242,0.0182,-0.1060,0.110
0.020111,0.0385,0.0015,-0.1180,0.124
0.048102,0.0438,-0.1531,-0.0691,0.174
0.049108,0.0342,-0.1555,-0.0763,0.177
0.049271,0.0198,-0.1555,-0.0883,0.180
0.049371,0.0079,-0.1579,-0.0955,0.185
0.049481,-0.0137,-0.1603,-0.0907,0.185
0.089476,0.0398,-0.0188,-0.0134,0.046
0.130041,0.0131,0.1153,-0.0306,0.120
0.130834,0.0083,0.1248,-0.0187,0.127
0.131050,0.0154,0.1320,-0.0091,0.133
0.131296,0.0178,0.1344,-0.0067,0.136
0.131497,0.0154,0.1464,-0.0091,0.147
0.168321,-0.0373,0.1077,-0.1125,0.160
0.171946,-0.0301,0.0981,-0.0957,0.140
0.208356,0.0100,-0.0416,-0.0269,0.050
0.209003,0.0172,-0.0416,-0.0197,0.049
0.230234,0.0755,-0.0915,-0.0281,0.122
0.230985,0.0827,-0.0963,-0.0209,0.129
0.231223,0.0922,-0.1011,-0.0113,0.137
0.249162,0.0280,-0.0802,-0.0535,0.100
0.249946,0.0159,-0.0730,-0.0726,0.104
0.250271,0.0159,-0.0586,-0.0990,0.116
0.250510,0.0064,-0.0562,-0.1181,0.131
0.250727,0.0135,-0.0466,-0.1085,0.119
0.290576,-0.0224,0.0189,-0.0621,0.069
0.291438,-0.0247,0.0141,-0.0477,0.056
0.291757,-0.0295,0.0093,-0.0405,0.051
0.291997,-0.0247,0.0093,-0.0429,0.050
0.292493,-0.0295,0.0022,-0.0405,0.050
0.329171,-0.0711,-0.0454,-0.0803,0.116
0.368663,0.1007,0.0300,-0.0140,0.106
0.408429,0.0568,0.0952,-0.0962,0.147
0.408780,0.0424,0.0976,-0.1130,0.155
0.408858,0.0400,0.0904,-0.1202,0.156
0.408946,0.0376,0.0832,-0.1297,0.159
0.409014,0.0328,0.0808,-0.1465,0.171
