time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002357,-0.1398,-0.1074,0.2295,0.289
0.002940,-0.1494,-0.1074,0.2367,0.300
0.003193,-0.1614,-0.1122,0.2343,0.306
0.003440,-0.1614,-0.1170,0.2247,0.300
0.003658,-0.1518,-0.1146,0.2199,0.291
0.003886,-0.1488,-0.1065,0.2086,0.277
0.004139,-0.1464,-0.1065,0.1703,0.249
0.004888,-0.1129,-0.1089,0.1679,0.230
0.005292,-0.0913,-0.1137,0.1535,0.212
0.031918,0.1947,-0.1960,-0.0244,0.277
0.032596,0.2066,-0.1936,-0.0363,0.286
0.032839,0.2306,-0.2080,-0.0459,0.314
0.033220,0.2473,-0.2248,-0.0627,0.340
0.033507,0.2617,-0.2224,-0.0675,0.350
0.046137,0.2723,-0.2150,-0.0655,0.353
0.051656,0.2747,-0.2030,-0.0583,0.347
0.051948,0.2795,-0.1911,-0.0607,0.344
0.052085,0.2771,-0.1887,-0.0559,0.340
0.072102,0.0065,-0.1012,0.0899,0.136
0.072674,-0.0150,-0.0916,0.0923,0.131
0.082057,-0.0252,-0.0792,0.0998,0.130
0.082463,-0.0300,-0.0792,0.1118,0.140
0.082617,-0.0300,-0.0816,0.1142,0.144
0.082745,-0.0467,-0.0864,0.1094,0.147
0.111568,-0.0541,-0.0942,0.1073,0.153
0.112092,-0.0709,-0.1038,0.1002,0.161
0.112261,-0.0829,-0.1014,0.0762,0.152
0.112393,-0.0877,-0.1038,0.0762,0.156
0.112521,-0.0924,-0.1157,0.0571,0.159
0.158797,-0.0980,-0.0678,0.0361,0.125
0.159184,-0.0909,-0.0654,0.0361,0.118
0.159283,-0.0813,-0.0606,0.0313,0.106
0.159388,-0.0789,-0.0630,0.0169,0.102
0.159486,-0.0669,-0.0702,0.0073,0.097
0.191738,0.0746,-0.2186,-0.1850,0.296
0.231550,0.1310,-0.0700,0.0248,0.151
0.241248,0.1425,-0.1012,-0.0143,0.175
0.241546,0.1592,-0.1036,-0.0238,0.191
0.241660,0.1616,-0.0916,-0.0358,0.189
0.241774,0.1449,-0.0964,-0.0358,0.178
0.271165,-0.0421,-0.0759,-0.0187,0.089
0.271652,-0.0373,-0.0807,-0.0211,0.091
0.271769,-0.0373,-0.0951,-0.0258,0.105
