time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009359,0.0082,-0.1341,-0.1340,0.190
0.047010,-0.0122,-0.1245,-0.0420,0.132
0.047774,-0.0146,-0.1197,-0.0181,0.122
0.047894,-0.0194,-0.1125,-0.0253,0.117
0.047970,-0.0194,-0.1101,-0.0253,0.115
0.048045,-0.0170,-0.1149,-0.0037,0.116
0.087858,-0.0267,0.0005,0.0703,0.075
0.088212,-0.0243,0.0076,0.0631,0.068
0.088320,-0.0171,-0.0019,0.0679,0.070
0.088412,-0.0147,-0.0115,0.0727,0.075
0.088514,-0.0147,-0.0163,0.0727,0.076
0.096876,-0.0160,-0.0203,0.0737,0.078
0.097342,-0.0136,-0.0274,0.0689,0.075
0.097489,-0.0136,-0.0346,0.0761,0.085
0.097618,-0.0088,-0.0538,0.0929,0.108
0.107393,-0.0026,-0.0770,0.0682,0.103
0.107747,0.0094,-0.0842,0.0587,0.103
0.107888,0.0094,-0.0914,0.0634,0.112
0.127466,0.0400,-0.1196,0.1032,0.163
0.147748,0.0667,-0.0942,0.0681,0.134
0.148252,0.0667,-0.0799,0.0753,0.128
0.148415,0.0811,-0.0775,0.0753,0.135
0.167748,0.1012,-0.0673,0.0377,0.127
0.207678,0.0893,-0.0512,0.0362,0.109
0.208356,0.0893,-0.0584,0.0218,0.109
0.227933,0.0119,-0.0606,0.0686,0.092
0.228645,-0.0121,-0.0462,0.0614,0.078
0.228950,-0.0217,-0.0558,0.0519,0.079
0.237364,0.0020,-0.1107,0.0872,0.141
0.238319,0.0164,-0.1275,0.0824,0.153
0.248374,0.0134,-0.2303,0.0960,0.250
0.249023,0.0158,-0.2303,0.0960,0.250
0.302792,0.0964,-0.1222,0.1387,0.208
0.329242,-0.0119,-0.1526,0.1902,0.244
0.330010,0.0024,-0.1502,0.1878,0.240
0.330150,0.0072,-0.1430,0.1902,0.238
0.330273,-0.0024,-0.1287,0.2069,0.244
0.330385,-0.0024,-0.1335,0.2093,0.248
0.368136,-0.0405,-0.1373,0.2077,0.252
0.369103,-0.0548,-0.1397,0.2053,0.254
0.369414,-0.0548,-0.1349,0.1885,0.238
0.369636,-0.0524,-0.1253,0.1813,0.227
0.369898,-0.0285,-0.1277,0.1718,0.216
0.408533,0.0818,-0.0787,0.1694,0.204
0.409368,0.0962,-0.0644,0.1646,0.201
0.409532,0.1033,-0.0524,0.1766,0.211
0.409660,0.1081,-0.0548,0.1694,0.208
0.409778,0.1129,-0.0763,0.1838,0.229
0.450048,0.1141,-0.1262,0.1405,0.221
0.451266,0.1284,-0.1262,0.1525,0.236
0.451536,0.1500,-0.1238,0.1381,0.239
0.451760,0.1715,-0.1166,0.1189,0.239
0.451964,0.1955,-0.1142,0.1142,0.254
0.499473,-0.0325,-0.0713,0.1030,0.129
0.500438,-0.0421,-0.0713,0.1126,0.140
0.500601,-0.0565,-0.0665,0.1030,0.135
0.500710,-0.0589,-0.0617,0.1030,0.134
0.500809,-0.0589,-0.0545,0.1102,0.136
0.527666,-0.1158,-0.0161,0.1637,0.201
0.528690,-0.1254,-0.0400,0.1613,0.208
0.528933,-0.1062,-0.0520,0.1876,0.222
0.529105,-0.0942,-0.0688,0.1924,0.225
0.529879,-0.0846,-0.0616,0.1972,0.223
0.567816,0.0703,-0.1414,0.1209,0.199
0.568622,0.0798,-0.1414,0.0969,0.189
0.568889,0.0870,-0.1462,0.0945,0.195
0.569141,0.0918,-0.1510,0.0706,0.190
0.569387,0.0966,-0.1510,0.0490,0.186
0.609545,0.0161,-0.3653,-0.1274,0.387
0.610455,0.0185,-0.3892,-0.1370,0.413
0.610733,0.0257,-0.4131,-0.1442,0.438
0.610947,0.0209,-0.4299,-0.1585,0.459
0.611285,0.0018,-0.4395,-0.1538,0.466
0.648238,0.2187,-0.5362,-0.3345,0.669
0.658668,0.1943,-0.5303,-0.3380,0.658
0.659194,0.1176,-0.5208,-0.3428,0.634
0.659419,0.0674,-0.4992,-0.3428,0.609
0.659577,0.0482,-0.4896,-0.3428,0.600
0.692486,-0.1108,-0.1512,-0.2016,0.275
0.728353,-0.7425,0.2407,0.2311,0.814
0.767853,-1.4204,-0.0015,0.2814,1.448
0.809423,-1.1034,-0.0666,0.4700,1.201
0.848962,-0.1942,-0.4863,0.7934,0.951
0.849631,-0.1511,-0.5006,0.7982,0.954
0.890618,0.4810,-0.4500,0.5721,0.872
0.891367,0.4954,-0.4333,0.5266,0.843
0.891511,0.5074,-0.4165,0.4763,0.811
0.891611,0.5098,-0.3878,0.4236,0.768
0.891717,0.5194,-0.3734,0.3542,0.731
0.899926,0.5243,-0.3603,0.3137,0.709
0.900468,0.5291,-0.3364,0.2467,0.674
0.900589,0.5243,-0.3077,0.1797,0.634
0.900702,0.5195,-0.2981,0.1246,0.612
0.907919,0.4807,-0.2699,0.0496,0.554
0.908256,0.4639,-0.2627,0.0136,0.533
0.908346,0.4424,-0.2484,-0.0342,0.508
0.927188,0.1559,-0.1248,-0.2585,0.327
0.927550,0.0961,-0.1080,-0.2465,0.286
0.927644,0.0530,-0.0913,-0.2370,0.259
0.927718,0.0099,-0.0649,-0.2346,0.244
0.927885,-0.0476,-0.0434,-0.2226,0.232
0.967893,-0.9066,0.2517,-0.1836,0.959
0.968460,-0.9305,0.2589,-0.1788,0.982
0.968664,-0.9832,0.2685,-0.1621,1.032
0.968834,-1.0215,0.2541,-0.1573,1.064
0.969008,-1.0598,0.2517,-0.1357,1.098
1.008562,-1.2026,-0.2951,0.2847,1.271
1.009220,-1.1906,-0.3358,0.2680,1.266
1.049838,-0.5863,-0.4689,0.0446,0.752
1.050736,-0.5432,-0.4498,0.0446,0.707
1.051064,-0.5121,-0.4402,0.0278,0.676
1.051428,-0.4929,-0.4186,0.0039,0.647
1.051634,-0.4690,-0.3851,0.0039,0.607
1.091644,0.2245,0.1095,-0.0063,0.250
1.092208,0.2628,0.1214,-0.0279,0.291
1.092349,0.2987,0.1334,-0.0303,0.329
1.092468,0.3131,0.1406,-0.0350,0.345
1.092602,0.3466,0.1454,-0.0350,0.377
1.128185,0.6238,0.0579,-0.1032,0.635
1.128872,0.6113,0.0425,-0.1170,0.624
1.129168,0.6042,0.0305,-0.1051,0.614
1.129870,0.5874,0.0210,-0.1003,0.596
1.130184,0.5850,0.0066,-0.0955,0.593
1.168481,0.0048,-0.1234,-0.0228,0.126
1.169263,-0.0431,-0.1162,-0.0180,0.125
1.208298,-0.7181,0.1080,0.1958,0.752
1.209196,-0.7492,0.1248,0.2030,0.786
1.209515,-0.7732,0.1583,0.2270,0.821
1.209744,-0.7995,0.1751,0.2413,0.853
1.210188,-0.8210,0.1846,0.2461,0.877
1.247754,-1.6106,0.0617,0.3972,1.660
1.248533,-1.6250,0.0426,0.3900,1.672
1.267386,-1.7185,-0.0466,0.2169,1.733
1.267941,-1.7568,-0.0634,0.2001,1.769
1.268127,-1.7879,-0.0586,0.1738,1.797
1.292909,-1.8089,0.1088,0.3190,1.840
1.293795,-1.8089,0.1663,0.3478,1.850
1.293953,-1.8233,0.2142,0.4028,1.879
1.294166,-1.8137,0.2620,0.4555,1.888
1.294373,-1.8089,0.3195,0.4699,1.896
