time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015413,0.0672,0.0865,-0.1034,0.151
0.016960,0.0624,0.0793,-0.0962,0.139
0.017243,0.0528,0.0817,-0.0962,0.137
0.018033,0.0456,0.0817,-0.0890,0.129
0.018663,0.0265,0.0913,-0.0938,0.134
0.019132,0.0119,0.0773,-0.1092,0.134
0.019306,0.0095,0.0677,-0.1068,0.127
0.019453,0.0047,0.0677,-0.1188,0.137
0.019615,0.0047,0.0653,-0.0996,0.119
0.044863,0.0014,-0.0282,-0.0407,0.050
0.045408,0.0134,-0.0282,-0.0360,0.048
0.045631,0.0206,-0.0425,-0.0240,0.053
0.045795,0.0397,-0.0449,-0.0144,0.062
0.045947,0.0421,-0.0425,-0.0264,0.065
0.085054,-0.0714,-0.0205,-0.0699,0.102
0.086045,-0.0618,-0.0300,-0.0579,0.090
0.086334,-0.0642,-0.0181,-0.0507,0.084
0.086491,-0.0642,-0.0133,-0.0507,0.083
0.086642,-0.0618,-0.0229,-0.0459,0.080
0.097197,-0.0569,-0.0248,-0.0435,0.076
0.097806,-0.0521,-0.0129,-0.0531,0.076
0.097985,-0.0545,-0.0105,-0.0579,0.080
0.098113,-0.0497,-0.0057,-0.0531,0.073
0.107051,-0.0390,-0.0107,-0.0125,0.042
0.107793,-0.0294,-0.0059,-0.0053,0.030
0.108019,-0.0223,0.0085,0.0138,0.028
0.126672,-0.0200,0.0294,-0.1095,0.115
0.127512,-0.0248,0.0270,-0.1287,0.134
0.166162,0.0698,-0.0615,-0.0644,0.113
0.166921,0.2733,-0.3320,-0.0070,0.430
0.167122,0.4624,-0.2314,-0.0788,0.523
0.167342,0.1464,-0.1117,-0.0932,0.206
0.167525,-0.2918,-0.0686,0.0553,0.305
0.186414,-0.0267,0.1511,-0.0579,0.164
0.187363,0.0164,0.0961,-0.0315,0.102
0.187593,0.0380,0.0745,-0.0243,0.087
0.205926,0.0055,0.0384,-0.0364,0.053
0.206478,-0.0041,0.0528,-0.0197,0.056
0.206695,-0.0160,0.0552,-0.0053,0.058
0.206884,-0.0304,0.0552,0.0019,0.063
0.207119,-0.0256,0.0552,-0.0077,0.061
0.245616,-0.0224,-0.0036,-0.0994,0.102
0.246353,-0.0200,0.0012,-0.0827,0.085
0.246551,-0.0176,0.0156,-0.0659,0.070
0.246728,-0.0056,0.0156,-0.0563,0.059
0.246891,0.0015,0.0180,-0.0611,0.064
0.254553,0.0111,0.0104,-0.0663,0.068
0.255078,0.0159,0.0200,-0.0592,0.064
0.255298,0.0255,0.0176,-0.0424,0.052
0.255473,0.0255,0.0128,-0.0615,0.068
0.286233,0.0321,0.0147,-0.0177,0.039
0.324856,-0.0353,-0.0335,-0.0739,0.088
0.325370,-0.0065,-0.0263,-0.0811,0.086
0.325445,-0.0137,-0.0192,-0.0739,0.078
0.325707,-0.0209,-0.0144,-0.0835,0.087
0.325931,-0.0137,-0.0239,-0.0978,0.102
0.367779,0.0949,0.0812,0.0037,0.125
0.368633,0.1237,0.0094,0.0252,0.127
0.405659,-0.0128,-0.0246,-0.0950,0.099
0.406179,-0.0032,-0.0342,-0.1118,0.117
0.426242,-0.0051,0.0104,-0.1265,0.127
0.427123,-0.0147,0.0152,-0.1241,0.126
0.427268,-0.0195,0.0104,-0.1193,0.121
0.445777,0.0026,0.0211,0.0099,0.023
0.454352,0.0008,0.0083,0.0072,0.011
0.454853,0.0056,0.0035,0.0263,0.027
0.455037,0.0103,-0.0060,0.0215,0.025
0.455213,0.0127,-0.0132,0.0287,0.034
0.485965,0.0153,-0.0023,-0.0645,0.066
0.486717,0.0105,0.0144,-0.0765,0.079
0.486938,0.0081,0.0312,-0.1052,0.110
0.487150,0.0009,0.0456,-0.1339,0.141
0.487355,0.0033,0.0647,-0.1818,0.193
0.528154,-0.0632,0.2173,0.0606,0.234
0.529023,-0.0344,0.2389,0.1085,0.265
0.529257,-0.0177,0.2197,0.1277,0.255
0.529460,-0.0153,0.1814,0.1564,0.240
0.529725,-0.0177,0.1455,0.1708,0.225
0.565499,-0.1049,-0.0249,-0.1134,0.156
0.566741,-0.0857,-0.0345,-0.1182,0.150
0.566990,-0.0762,-0.0393,-0.1206,0.148
0.567278,-0.0738,-0.0249,-0.1493,0.168
0.568379,-0.0642,-0.0225,-0.1685,0.182
0.605520,0.1765,-0.1436,0.0254,0.229
0.605984,0.1717,-0.1675,0.0278,0.241
0.606113,0.1765,-0.1795,0.0422,0.255
0.606217,0.1837,-0.1819,0.0589,0.265
0.606341,0.1885,-0.1843,0.0565,0.270
0.647348,0.0868,-0.1863,-0.0133,0.206
0.655047,0.0840,-0.1926,-0.0173,0.211
0.655633,0.0697,-0.1974,-0.0317,0.212
0.655885,0.0673,-0.2069,-0.0437,0.222
0.656111,0.0649,-0.2045,-0.0628,0.224
0.687617,0.0421,-0.1565,-0.0209,0.163
0.725782,0.0235,0.0154,0.1114,0.115
0.726532,0.0115,0.0226,0.1043,0.107
0.726652,0.0043,0.0441,0.0755,0.088
0.726765,-0.0004,0.0681,0.0636,0.093
0.726890,-0.0244,0.0776,0.0564,0.099
0.745224,-0.0576,0.1728,0.0086,0.182
0.745942,-0.0672,0.1896,0.0134,0.202
0.746145,-0.0528,0.1872,0.0086,0.195
0.767233,-0.0832,0.4083,-0.0354,0.418
0.768086,-0.0832,0.4418,-0.0234,0.450
0.768396,-0.0808,0.4801,-0.0091,0.487
0.768824,-0.0688,0.5161,0.0005,0.521
0.769057,-0.0640,0.5615,0.0101,0.565
0.785350,-0.0386,0.6495,-0.0185,0.651
0.786247,-0.0505,0.6687,-0.0305,0.671
0.786438,-0.0553,0.6759,-0.0377,0.679
0.805991,-0.1532,0.6818,-0.1498,0.715
0.806480,-0.1604,0.6651,-0.1738,0.706
0.846932,-0.0231,0.2325,0.2437,0.338
0.847600,-0.0064,0.2013,0.2916,0.354
0.855411,-0.0442,0.2015,0.3262,0.386
0.855991,-0.0489,0.2039,0.3453,0.404
0.856230,0.0564,0.1656,0.3429,0.385
0.856449,0.1210,0.1345,0.3382,0.384
0.887740,-0.1385,-0.0453,-0.0522,0.155
0.888476,-0.1577,-0.0477,-0.0690,0.179
0.905709,-0.1933,-0.0853,-0.2156,0.302
0.906415,-0.1933,-0.1020,-0.2419,0.326
0.906680,-0.2148,-0.1140,-0.2634,0.359
0.930537,-0.0351,-0.3034,-0.1850,0.357
0.931290,-0.0471,-0.3201,-0.1634,0.362
0.931486,-0.0447,-0.3560,-0.1107,0.376
0.931672,-0.0207,-0.4015,-0.0868,0.411
0.931832,0.0080,-0.4374,-0.0533,0.441
0.945426,0.1827,-0.6698,0.0586,0.697
0.946340,0.1970,-0.6745,0.0490,0.704
0.946466,0.2138,-0.6985,0.0298,0.731
0.967205,0.2004,-0.6213,-0.0617,0.656
0.968971,0.2052,-0.5902,-0.0425,0.626
0.969208,0.2028,-0.5734,-0.0186,0.609
0.977082,0.2044,-0.5358,-0.0213,0.574
0.977491,0.2020,-0.5094,-0.0285,0.549
0.977753,0.1900,-0.4735,-0.0381,0.512
0.977876,0.1876,-0.4472,-0.0859,0.492
1.005937,0.1338,-0.1199,-0.0710,0.193
1.006441,0.1242,-0.1007,-0.0447,0.166
1.006603,0.1146,-0.0960,-0.0399,0.155
1.006722,0.0931,-0.0768,-0.0399,0.127
1.006848,0.0715,-0.0672,-0.0423,0.107
1.027070,0.0696,-0.0319,-0.0839,0.114
1.028012,0.0528,-0.0151,-0.0935,0.108
1.028213,0.0504,-0.0175,-0.0839,0.099
1.045772,0.0464,0.0876,0.0200,0.101
1.046487,0.0344,0.0947,0.0272,0.104
1.046686,0.0440,0.1067,0.0440,0.124
1.046826,0.0608,0.1067,0.0511,0.133
1.046984,0.1063,0.1283,0.0631,0.178
