time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003337,0.1351,-0.1967,-0.2770,0.366
0.003894,0.1136,-0.1991,-0.2675,0.352
0.004066,0.1088,-0.1943,-0.2722,0.352
0.004211,0.0968,-0.1943,-0.2842,0.358
0.004370,0.0825,-0.2015,-0.2770,0.352
0.031517,0.2050,-0.1843,-0.2419,0.367
0.032066,0.2218,-0.1819,-0.1989,0.349
0.071583,0.1829,-0.1722,-0.0528,0.257
0.071986,0.1853,-0.1578,-0.0720,0.254
0.072093,0.1901,-0.1411,-0.0816,0.250
0.072213,0.1972,-0.1315,-0.0983,0.257
0.072312,0.2020,-0.1267,-0.1127,0.264
0.082168,0.2010,-0.1070,-0.1349,0.265
0.082585,0.2058,-0.0878,-0.1301,0.259
0.082738,0.2034,-0.0735,-0.1349,0.255
0.082889,0.2010,-0.0615,-0.1420,0.254
0.111865,0.0679,0.1065,-0.0355,0.131
0.112337,0.0560,0.1137,-0.0235,0.129
0.131375,0.0290,0.1179,0.0507,0.132
0.131913,0.0242,0.1131,0.0674,0.134
0.132069,0.0099,0.1131,0.0650,0.131
0.151786,0.0185,0.1199,0.0556,0.133
0.191552,0.0539,0.0403,0.0168,0.069
0.192085,0.0610,0.0332,0.0001,0.069
0.231778,-0.0155,-0.1737,0.0373,0.178
0.232371,-0.0155,-0.1761,0.0253,0.179
0.242093,-0.0140,-0.1905,-0.0012,0.191
0.242716,-0.0020,-0.2073,-0.0131,0.208
0.242876,0.0004,-0.2097,-0.0227,0.211
0.243017,0.0051,-0.2144,-0.0299,0.217
0.271761,-0.0259,-0.2283,-0.0535,0.236
0.272395,-0.0211,-0.2187,-0.0606,0.228
0.272567,-0.0211,-0.2235,-0.0630,0.233
0.272719,-0.0187,-0.2139,-0.0559,0.222
0.272868,-0.0044,-0.1995,-0.0606,0.209
0.311711,0.0025,-0.1677,-0.0999,0.195
0.312127,0.0001,-0.1821,-0.1094,0.212
0.331214,0.0884,-0.1774,-0.0778,0.213
0.331709,0.0955,-0.1726,-0.0802,0.213
0.331872,0.0979,-0.1702,-0.0874,0.215
0.342108,0.1239,-0.1532,-0.0740,0.211
0.342468,0.1359,-0.1436,-0.0645,0.208
0.351564,0.1547,-0.0714,-0.0285,0.173
0.391602,0.1510,-0.0255,-0.1208,0.195
0.392119,0.1366,-0.0399,-0.1112,0.181
0.431506,0.2157,-0.1668,-0.1557,0.314
0.432091,0.2157,-0.1740,-0.1462,0.313
0.432276,0.2181,-0.1836,-0.1294,0.313
0.432436,0.2133,-0.1931,-0.1270,0.315
0.432573,0.1822,-0.2147,-0.1438,0.316
0.471363,0.0500,-0.4283,-0.1262,0.449
0.471829,0.0428,-0.4307,-0.1119,0.447
0.513371,-0.0577,-0.2981,-0.1444,0.336
0.514085,-0.0696,-0.3005,-0.1348,0.337
0.514303,-0.1031,-0.3101,-0.1300,0.352
0.514490,-0.1175,-0.3316,-0.1276,0.374
0.514685,-0.1391,-0.3891,-0.1108,0.428
0.551953,0.0906,0.0266,0.4301,0.440
0.552496,0.0787,0.0290,0.4804,0.488
0.591192,0.1582,-0.0934,0.7674,0.789
0.592032,0.1319,-0.0503,0.7578,0.771
0.592257,0.0553,-0.0144,0.7051,0.707
0.592389,0.0337,-0.0000,0.6716,0.672
0.592523,0.0289,0.0048,0.6357,0.636
0.602284,0.0362,0.0017,0.6144,0.615
0.602718,0.0482,-0.0079,0.6048,0.607
0.602912,0.0697,-0.0151,0.5905,0.595
0.603093,0.0889,-0.0366,0.5570,0.565
0.631814,0.2496,0.0309,0.5287,0.585
0.632923,0.2592,0.0141,0.5430,0.602
0.633292,0.2831,-0.0074,0.5861,0.651
0.633586,0.3190,-0.0266,0.5885,0.670
0.634009,0.3741,-0.0027,0.5933,0.701
0.651636,0.5145,0.1434,0.4889,0.724
0.652287,0.5121,0.1721,0.4745,0.719
0.652538,0.5001,0.1960,0.4506,0.701
0.671862,0.4650,0.3630,0.2586,0.644
0.672557,0.4793,0.3941,0.2179,0.658
0.672750,0.4721,0.4228,0.1939,0.663
0.672929,0.4769,0.4372,0.1628,0.667
0.673106,0.4745,0.4563,0.1460,0.674
0.691190,0.3314,0.4705,0.0636,0.579
0.691738,0.3266,0.4561,0.0708,0.565
0.691930,0.3123,0.4298,0.0564,0.534
0.711966,0.0305,0.1652,0.0351,0.172
0.712483,0.0018,0.1556,0.0495,0.163
0.751808,-0.2899,-0.1100,0.1261,0.335
0.752632,-0.2923,-0.1219,0.1357,0.345
0.752983,-0.3067,-0.1531,0.1477,0.373
0.753379,-0.3163,-0.1842,0.1572,0.398
0.754250,-0.3258,-0.2105,0.1716,0.424
0.791737,-0.4847,-0.4952,0.2019,0.722
0.792459,-0.4704,-0.4952,0.1804,0.706
0.831826,0.0167,-0.3702,-0.0363,0.372
0.842503,0.0567,-0.3698,-0.0501,0.377
0.843094,0.0663,-0.3650,-0.0501,0.374
0.843418,0.0926,-0.3650,-0.0573,0.381
0.843719,0.1094,-0.3746,-0.0764,0.398
0.871849,0.3691,-0.1139,-0.1061,0.401
0.872477,0.3787,-0.1092,-0.0965,0.406
0.872585,0.3979,-0.0900,-0.0845,0.417
0.872680,0.3979,-0.0565,-0.0821,0.410
0.872767,0.4074,-0.0278,-0.0630,0.413
0.910979,0.6754,0.2586,0.0928,0.729
0.950879,0.3567,-0.0778,0.0629,0.370
0.951291,0.3136,-0.1161,0.1084,0.352
0.982418,-0.0386,-0.3521,0.2921,0.459
0.982770,-0.0793,-0.3712,0.3113,0.491
0.991671,-0.3314,-0.4409,0.3126,0.634
0.992116,-0.3745,-0.4480,0.3102,0.661
1.011419,-0.5496,-0.4675,0.2416,0.761
