time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.022518,-0.2197,-0.2058,-0.0955,0.316
0.063678,-0.1740,-0.1385,-0.0538,0.229
0.065159,-0.1668,-0.1290,-0.0371,0.214
0.098967,-0.2048,-0.1641,0.0855,0.276
0.139921,-0.5569,-0.1755,0.1998,0.617
0.140597,-0.5353,-0.1587,0.1758,0.585
0.140794,-0.4994,-0.1443,0.1662,0.546
0.140960,-0.4803,-0.1372,0.1399,0.519
0.141112,-0.4827,-0.1276,0.1112,0.511
0.178994,-0.3351,0.0372,0.0652,0.343
0.179890,-0.3207,0.0420,0.1011,0.339
0.180146,-0.3112,0.0300,0.1346,0.340
0.180385,-0.3040,0.0324,0.1538,0.342
0.180665,-0.2848,0.0348,0.1706,0.334
0.219824,-0.0622,0.0420,-0.0832,0.112
0.220614,-0.0479,0.0444,-0.0761,0.100
0.220896,-0.0287,0.0540,-0.0713,0.094
0.269743,0.1683,0.1063,-0.0356,0.202
0.270730,0.1611,0.1015,-0.0475,0.196
0.271049,0.1539,0.0800,-0.0547,0.182
0.298690,0.0996,-0.0236,-0.1555,0.186
0.299691,0.0972,-0.0164,-0.1531,0.182
0.299890,0.0996,-0.0212,-0.1460,0.178
0.300028,0.1020,-0.0283,-0.1484,0.182
0.300169,0.0924,-0.0283,-0.1460,0.175
0.338639,0.1476,-0.1754,-0.4014,0.462
0.339157,0.1572,-0.1850,-0.3966,0.465
0.378887,0.5196,-0.4996,-0.4116,0.830
0.379979,0.5507,-0.5212,-0.4092,0.862
0.380240,0.5794,-0.5523,-0.4259,0.907
0.380464,0.5962,-0.5763,-0.4259,0.932
0.380648,0.6177,-0.6098,-0.4212,0.965
0.407761,0.8545,-0.7550,-0.3285,1.187
0.408457,0.8784,-0.7645,-0.2949,1.201
0.418901,0.9692,-0.7414,-0.1810,1.234
0.419872,0.9787,-0.7318,-0.1355,1.230
0.420188,0.9979,-0.7150,-0.1020,1.232
0.420757,1.0099,-0.7078,-0.0828,1.236
0.421256,1.0146,-0.6935,-0.0541,1.230
0.467176,0.7564,-0.0205,0.4443,0.878
0.468258,0.7133,0.0465,0.4395,0.839
0.468469,0.6870,0.1327,0.4228,0.817
0.468659,0.6559,0.2237,0.4251,0.813
0.468891,0.6080,0.3147,0.4132,0.800
0.499264,-0.0388,1.1301,0.0974,1.135
0.508308,-0.0629,1.0925,0.1074,1.100
0.509001,-0.0533,1.0422,0.1193,1.050
0.509498,-0.0509,1.0231,0.1241,1.032
0.509811,-0.0557,0.9895,0.1433,1.001
0.538614,0.0445,0.1550,0.5730,0.595
0.539304,0.0612,0.0760,0.6041,0.612
0.539484,0.0684,0.0376,0.6281,0.633
0.539659,0.0708,-0.0366,0.6688,0.674
0.539806,0.0732,-0.1036,0.7023,0.714
0.578932,-0.0506,-0.6944,0.7742,1.041
0.579833,-0.0650,-0.6537,0.7694,1.012
0.619154,0.0475,0.2754,0.6155,0.676
0.620113,0.0427,0.3449,0.6059,0.698
0.620410,0.0451,0.4167,0.6059,0.737
0.620661,0.0523,0.4670,0.5963,0.759
0.620940,0.0690,0.5388,0.6035,0.812
0.658529,0.7726,0.9731,0.3399,1.288
0.660057,0.8324,0.9180,0.3399,1.285
