time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007326,-0.0532,0.0697,-0.1579,0.181
0.007961,-0.0651,0.0553,-0.1555,0.177
0.008098,-0.0723,0.0529,-0.1579,0.182
0.008201,-0.0627,0.0529,-0.1603,0.180
0.008302,-0.0579,0.0361,-0.1579,0.172
0.047980,0.1475,-0.1350,0.1013,0.224
0.048471,0.1546,-0.1398,0.1085,0.235
0.048556,0.1786,-0.1374,0.1300,0.260
0.048648,0.2001,-0.1422,0.1611,0.294
0.048724,0.2121,-0.1446,0.1827,0.315
0.056599,0.2334,-0.1399,0.1815,0.327
0.057038,0.2502,-0.1614,0.1911,0.354
0.057152,0.2598,-0.1734,0.1935,0.367
0.057278,0.2694,-0.1734,0.1983,0.377
0.087037,0.3326,-0.1987,0.1377,0.411
0.127840,0.1242,-0.0051,0.0406,0.131
0.128325,0.1170,-0.0051,0.0286,0.121
0.138899,0.1138,0.0086,0.0100,0.115
0.139177,0.1209,0.0254,-0.0020,0.124
0.139332,0.1233,0.0302,-0.0020,0.127
0.139429,0.1233,0.0373,-0.0163,0.130
0.167228,0.2454,0.0633,0.1890,0.316
0.167672,0.2646,0.0610,0.1914,0.332
0.167755,0.2766,0.0394,0.1938,0.340
0.176638,0.2780,0.0362,0.1812,0.334
0.176973,0.2924,0.0242,0.1788,0.344
0.177065,0.3043,0.0266,0.1669,0.348
0.177152,0.2972,0.0075,0.1525,0.334
0.207637,0.2381,-0.1805,-0.0736,0.308
0.208049,0.2357,-0.1781,-0.0928,0.310
0.208152,0.2261,-0.1877,-0.0856,0.306
0.208254,0.2309,-0.1925,-0.0928,0.315
0.208356,0.2309,-0.1997,-0.1071,0.324
0.253312,0.0303,-0.1746,0.0242,0.179
0.253931,0.0207,-0.1842,0.0027,0.185
0.287105,0.0835,-0.0332,0.0563,0.106
0.287884,0.1002,-0.0260,0.0635,0.121
0.287994,0.0955,-0.0140,0.0683,0.118
0.288091,0.1050,-0.0020,0.0731,0.128
0.288179,0.1122,0.0027,0.0899,0.144
0.327574,0.1398,0.0339,0.1659,0.220
0.328151,0.1326,0.0291,0.1659,0.214
0.328269,0.1254,0.0267,0.1659,0.210
0.328362,0.1374,0.0171,0.1516,0.205
0.328457,0.1254,0.0027,0.1492,0.195
0.367289,0.0400,-0.0211,-0.0275,0.053
0.367667,0.0376,-0.0211,-0.0443,0.062
0.367761,0.0424,-0.0140,-0.0587,0.074
0.367842,0.0448,-0.0283,-0.0706,0.088
0.367910,0.0424,-0.0259,-0.0874,0.101
0.376544,0.0388,-0.0290,-0.0944,0.106
0.376897,0.0412,-0.0386,-0.0944,0.110
0.376999,0.0460,-0.0529,-0.1160,0.136
0.377109,0.0436,-0.0577,-0.1160,0.137
0.406954,0.0392,-0.1213,-0.1339,0.185
0.407461,0.0320,-0.1405,-0.1458,0.205
0.407588,0.0129,-0.1620,-0.1626,0.230
0.407686,0.0009,-0.1716,-0.1698,0.241
0.407775,-0.0182,-0.1979,-0.1530,0.251
0.416526,-0.0302,-0.2266,-0.1622,0.280
0.416883,-0.0422,-0.2433,-0.1575,0.293
0.416998,-0.0541,-0.2625,-0.1598,0.312
0.417088,-0.0685,-0.2840,-0.1503,0.329
0.452161,-0.2405,-0.3574,-0.0741,0.437
0.452654,-0.2500,-0.3455,-0.0550,0.430
0.452765,-0.2620,-0.3335,-0.0598,0.428
0.452866,-0.2644,-0.3287,-0.0550,0.425
0.452982,-0.2644,-0.3167,-0.0430,0.415
0.456328,-0.2529,-0.2880,-0.0388,0.385
0.456671,-0.2505,-0.2640,-0.0412,0.366
0.456764,-0.2434,-0.2377,-0.0436,0.343
0.456874,-0.2410,-0.2090,-0.0555,0.324
0.467132,-0.2298,-0.1587,-0.0579,0.285
0.467501,-0.2202,-0.1348,-0.0651,0.266
0.467596,-0.2154,-0.1037,-0.0507,0.244
0.486741,-0.1839,0.1613,0.0721,0.255
0.487310,-0.1815,0.1876,0.0769,0.272
0.528084,-0.2293,0.0612,0.1757,0.295
0.528877,-0.2150,0.0396,0.1662,0.275
0.568442,-0.6009,-0.0280,-0.0357,0.603
0.569389,-0.6296,-0.0280,-0.0094,0.630
0.608881,-0.1927,-1.3023,-0.0085,1.317
0.609829,-0.2861,-0.9384,-0.0516,0.982
0.617526,-0.5188,-0.5166,-0.0733,0.736
0.618699,-0.7463,-0.2221,-0.1020,0.785
0.619163,-0.9067,0.0101,-0.0780,0.910
0.619579,-1.0288,0.2256,-0.0589,1.055
0.652953,-0.2728,-0.3954,0.1623,0.507
0.653353,-0.3016,-0.4432,0.2078,0.575
0.653539,-0.3159,-0.4552,0.2557,0.610
0.653626,-0.3375,-0.4289,0.3060,0.626
0.653699,-0.3471,-0.4097,0.3156,0.623
0.656724,-0.3528,-0.3635,0.3178,0.598
0.656903,-0.3671,-0.3252,0.3202,0.586
0.656985,-0.3839,-0.2941,0.3250,0.583
0.657060,-0.3863,-0.2677,0.3082,0.562
0.687632,-0.3099,0.1696,0.1863,0.399
0.688532,-0.2716,0.2199,0.2007,0.403
0.688806,-0.2189,0.2582,0.2223,0.405
0.689007,-0.1782,0.2870,0.2438,0.417
0.689207,-0.1207,0.3205,0.2510,0.425
0.707064,0.0804,0.3429,0.4931,0.606
0.707881,0.0947,0.3334,0.5338,0.636
0.708123,0.1091,0.3190,0.5649,0.658
0.728441,0.0761,0.1724,0.5227,0.556
0.729480,0.0714,0.1412,0.4772,0.503
0.772660,0.0625,-0.2720,0.4476,0.528
0.773639,0.0625,-0.2768,0.4620,0.542
0.807919,0.0930,-0.4076,0.6449,0.769
0.865345,0.0267,-0.3895,0.5103,0.643
0.866564,0.0195,-0.3847,0.4936,0.626
0.866806,0.0171,-0.3775,0.4649,0.599
0.867024,0.0147,-0.3751,0.4385,0.577
0.867890,0.0100,-0.3631,0.4122,0.549
0.887445,-0.1031,-0.1669,0.6261,0.656
0.888498,-0.1079,-0.1621,0.6452,0.674
0.888792,-0.0768,-0.1382,0.6428,0.662
0.888988,-0.0696,-0.0951,0.6261,0.637
0.889207,-0.0768,-0.0879,0.6093,0.620
0.916537,-0.0615,0.0175,0.2304,0.239
0.917434,-0.0304,0.0199,0.2040,0.207
0.929150,0.0040,-0.0669,0.2217,0.232
0.931813,-0.0128,-0.0884,0.2456,0.261
0.940494,-0.0500,-0.1085,0.2576,0.284
