time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002929,0.1528,-0.1624,0.0406,0.227
0.003626,0.1504,-0.1696,0.0383,0.230
0.003922,0.1456,-0.1696,0.0335,0.226
0.013551,0.1964,-0.2191,-0.0209,0.295
0.014150,0.2155,-0.2646,-0.0209,0.342
0.014327,0.2203,-0.3005,-0.0233,0.373
0.014465,0.2323,-0.2862,-0.0449,0.371
0.014721,0.2371,-0.2502,-0.0449,0.348
0.031980,0.2331,-0.2224,-0.0528,0.326
0.032743,0.2116,-0.1984,-0.0432,0.293
0.033171,0.1852,-0.1649,-0.0528,0.254
0.033382,0.1709,-0.1410,-0.0719,0.233
0.052033,0.2554,-0.1407,-0.0832,0.303
0.052923,0.2530,-0.1503,-0.0856,0.306
0.053302,0.2410,-0.1479,-0.0617,0.289
0.053475,0.2290,-0.1407,-0.0593,0.275
0.053600,0.2219,-0.1431,-0.0545,0.270
0.094664,0.0208,-0.1741,0.0572,0.184
0.095219,0.0184,-0.1741,0.0524,0.183
0.095521,0.0136,-0.1836,0.0500,0.191
0.095798,0.0089,-0.1765,0.0476,0.183
0.096065,0.0017,-0.1813,0.0428,0.186
0.117023,-0.0416,-0.0814,-0.0783,0.120
0.117757,-0.0464,-0.0622,-0.0998,0.126
0.117996,-0.0535,-0.0431,-0.1094,0.129
0.132251,-0.0995,0.0758,-0.0933,0.156
0.132976,-0.1091,0.0901,-0.0933,0.169
0.133241,-0.1115,0.0997,-0.1004,0.180
0.133469,-0.1186,0.1069,-0.0956,0.186
0.133703,-0.1258,0.1045,-0.1004,0.192
0.173882,-0.1006,0.0877,-0.0911,0.162
0.216431,-0.0343,-0.0364,-0.1625,0.170
0.217068,-0.0319,-0.0388,-0.1553,0.163
0.217240,-0.0343,-0.0603,-0.1481,0.164
0.217382,-0.0295,-0.0747,-0.1410,0.162
0.217520,-0.0175,-0.0842,-0.1362,0.161
0.231966,0.0092,-0.1225,-0.0933,0.154
0.233536,0.0163,-0.1201,-0.0981,0.156
0.233745,0.0115,-0.1129,-0.0981,0.150
0.252482,-0.0446,-0.0695,-0.0705,0.109
0.253188,-0.0493,-0.0599,-0.0634,0.100
0.253432,-0.0613,-0.0551,-0.0610,0.103
0.253634,-0.0613,-0.0527,-0.0514,0.096
0.253837,-0.0613,-0.0432,-0.0466,0.088
0.296294,-0.0122,-0.1638,-0.0150,0.165
0.296999,-0.0122,-0.1590,-0.0246,0.161
0.297310,-0.0074,-0.1590,-0.0246,0.161
0.333054,0.0098,-0.0540,-0.0824,0.099
0.333723,0.0098,-0.0396,-0.1016,0.110
0.371558,-0.0302,-0.0057,-0.1628,0.166
0.372154,-0.0326,-0.0033,-0.1460,0.150
0.372325,-0.0326,-0.0081,-0.1604,0.164
0.372481,-0.0278,-0.0129,-0.1508,0.154
0.372636,-0.0230,-0.0129,-0.1388,0.141
0.382069,-0.0221,0.0024,-0.1480,0.150
0.383568,-0.0173,0.0120,-0.1480,0.149
0.383817,-0.0149,0.0120,-0.1240,0.126
0.383947,-0.0077,0.0240,-0.1121,0.115
0.413256,0.0777,-0.0814,-0.0125,0.113
0.451880,0.1407,-0.1679,-0.0312,0.221
0.452645,0.1431,-0.1727,-0.0336,0.227
0.452908,0.1360,-0.1871,-0.0528,0.237
0.453147,0.1360,-0.1919,-0.0552,0.242
0.453386,0.1360,-0.1966,-0.0671,0.248
0.462047,0.1459,-0.1865,-0.0795,0.250
0.462844,0.1507,-0.1865,-0.0891,0.256
0.463150,0.1459,-0.1961,-0.1035,0.265
0.463426,0.1579,-0.2104,-0.1035,0.283
0.491898,0.1682,-0.0494,-0.0243,0.177
0.492541,0.1467,-0.0494,-0.0291,0.157
0.492715,0.1179,-0.0398,-0.0123,0.125
0.492887,0.1012,-0.0207,0.0044,0.103
0.493043,0.0868,-0.0159,0.0212,0.091
0.532120,-0.0645,-0.0514,0.0275,0.087
0.532697,-0.0526,-0.0538,0.0275,0.080
0.532866,-0.0598,-0.0514,0.0107,0.080
0.533005,-0.0693,-0.0442,0.0059,0.082
0.533133,-0.0526,-0.0466,0.0059,0.071
0.573881,0.0333,0.1065,0.1821,0.214
0.574864,0.0309,0.1160,0.2084,0.241
0.575143,0.0333,0.1089,0.2228,0.250
0.575408,0.0381,0.1065,0.2180,0.246
0.575668,0.0405,0.1041,0.2252,0.251
0.617895,0.0825,0.0148,0.3140,0.325
0.618911,0.1017,-0.0092,0.3236,0.339
0.653033,0.2768,0.2476,0.1819,0.414
0.653726,0.2720,0.2860,0.1675,0.429
0.692270,0.7855,0.0473,0.6382,1.013
0.734686,0.3317,-0.5543,0.5345,0.838
0.771287,-0.1764,-0.7536,0.3194,0.837
0.781648,-0.1152,-0.7990,0.2985,0.861
0.782236,-0.0601,-0.8493,0.3224,0.910
0.782372,0.0357,-0.9331,0.3416,0.994
0.782485,0.0213,-0.9810,0.3416,1.039
0.812183,-0.0352,-0.7816,0.2691,0.827
0.812877,-0.0616,-0.7002,0.2955,0.762
0.851202,0.0432,-0.0883,0.3165,0.331
0.851843,0.0744,-0.0715,0.3093,0.326
0.852349,0.3282,-0.0955,0.3045,0.458
0.852637,0.6442,-0.0667,0.2279,0.687
0.852813,0.4024,-0.0667,0.1704,0.442
0.881199,0.2448,0.3264,0.3523,0.539
0.881947,0.2185,0.3288,0.3427,0.523
0.892311,0.1735,0.1504,0.4197,0.478
0.893040,0.1328,0.0977,0.4341,0.464
0.893342,0.1161,0.0546,0.4532,0.471
0.893663,0.0419,-0.0100,0.4843,0.486
0.893931,0.1783,-0.0531,0.5131,0.546
0.932041,-0.0309,-0.5151,0.2146,0.559
0.932560,-0.0692,-0.5439,0.1931,0.581
0.973094,0.2069,0.5141,-0.1585,0.576
0.974007,-0.0636,0.5884,-0.2016,0.625
0.981366,-0.1744,0.6589,-0.2331,0.720
0.982627,0.0076,0.7451,-0.2331,0.781
0.983035,0.1943,0.7978,-0.2067,0.847
0.983316,-0.0738,0.7906,-0.2307,0.827
0.994468,-0.2246,0.7849,-0.2537,0.855
0.995519,-0.1816,0.7681,-0.2154,0.818
0.995857,-0.1289,0.7298,-0.2058,0.769
1.018528,-0.3381,0.0946,0.0432,0.354
1.051994,-0.2323,-0.4569,-0.2710,0.580
1.052966,-0.2610,-0.4665,-0.3022,0.614
1.091792,-1.0682,-0.9819,-0.4251,1.512
1.092346,-1.0730,-0.9915,-0.3940,1.513
1.132408,-1.5685,-0.4401,0.1006,1.632
